report_date,current_ratio_th,year,quarter,code
2007-12-31,0.47,2007,4,601985
2008-12-31,0.45,2008,4,601985
2009-09-30,False,2009,3,601985
2009-12-31,0.35,2009,4,601985
2010-03-31,False,2010,1,601985
2010-09-30,0.34,2010,3,601985
2010-12-31,0.40,2010,4,601985
2011-03-31,0.49,2011,1,601985
2011-06-30,0.50,2011,2,601985
2011-09-30,0.53,2011,3,601985
2011-12-31,0.57,2011,4,601985
2012-03-31,0.60,2012,1,601985
2012-06-30,0.86,2012,2,601985
2012-09-30,1.03,2012,3,601985
2012-12-31,0.70,2012,4,601985
2013-03-31,0.97,2013,1,601985
2013-06-30,0.78,2013,2,601985
2013-09-30,0.92,2013,3,601985
2013-12-31,0.76,2013,4,601985
2014-03-31,1.08,2014,1,601985
2014-06-30,0.74,2014,2,601985
2014-09-30,0.96,2014,3,601985
2014-12-31,0.97,2014,4,601985
2015-03-31,False,2015,1,601985
2015-06-30,1.11,2015,2,601985
2015-09-30,1.15,2015,3,601985
2015-12-31,0.94,2015,4,601985
2016-03-31,0.96,2016,1,601985
2016-06-30,0.93,2016,2,601985
2016-09-30,0.92,2016,3,601985
2016-12-31,0.75,2016,4,601985
2017-03-31,0.78,2017,1,601985
2017-06-30,0.80,2017,2,601985
2017-09-30,0.89,2017,3,601985
2017-12-31,0.86,2017,4,601985
2018-03-31,0.94,2018,1,601985
2018-06-30,0.94,2018,2,601985
2018-09-30,0.99,2018,3,601985
2018-12-31,0.87,2018,4,601985
2019-03-31,0.94,2019,1,601985
2019-06-30,1.10,2019,2,601985
2019-09-30,1.12,2019,3,601985
2019-12-31,0.86,2019,4,601985
2020-03-31,0.94,2020,1,601985
2020-06-30,0.86,2020,2,601985
2020-09-30,1.00,2020,3,601985
2020-12-31,0.95,2020,4,601985
2021-03-31,0.99,2021,1,601985
2021-06-30,0.87,2021,2,601985
2021-09-30,0.97,2021,3,601985
2021-12-31,0.88,2021,4,601985
2022-03-31,1.10,2022,1,601985
2022-06-30,1.10,2022,2,601985
2022-09-30,1.20,2022,3,601985
2022-12-31,0.89,2022,4,601985
2023-03-31,1.05,2023,1,601985
2023-06-30,0.84,2023,2,601985
2023-09-30,0.93,2023,3,601985
2023-12-31,0.70,2023,4,601985
2024-03-31,0.81,2024,1,601985
2024-06-30,0.81,2024,2,601985
2024-09-30,0.70,2024,3,601985
2024-12-31,0.83,2024,4,601985
2025-03-31,0.88,2025,1,601985
2025-06-30,0.91,2025,2,601985
2025-09-30,0.88,2025,3,601985
2025-12-31,0.82,2025,4,601985
2026-03-31,0.96,2026,1,601985
