report_date,current_ratio_th,year,quarter,code
2011-12-31,1.54,2011,4,300533
2012-12-31,2.14,2012,4,300533
2013-12-31,2.25,2013,4,300533
2014-12-31,2.40,2014,4,300533
2015-03-31,False,2015,1,300533
2015-06-30,2.52,2015,2,300533
2015-09-30,False,2015,3,300533
2015-12-31,2.62,2015,4,300533
2016-03-31,2.92,2016,1,300533
2016-06-30,3.15,2016,2,300533
2016-09-30,6.54,2016,3,300533
2016-12-31,7.09,2016,4,300533
2017-03-31,8.01,2017,1,300533
2017-06-30,8.17,2017,2,300533
2017-09-30,8.23,2017,3,300533
2017-12-31,7.78,2017,4,300533
2018-03-31,8.50,2018,1,300533
2018-06-30,7.61,2018,2,300533
2018-09-30,7.75,2018,3,300533
2018-12-31,7.29,2018,4,300533
2019-03-31,7.79,2019,1,300533
2019-06-30,8.78,2019,2,300533
2019-09-30,8.20,2019,3,300533
2019-12-31,8.07,2019,4,300533
2020-03-31,8.24,2020,1,300533
2020-06-30,9.04,2020,2,300533
2020-09-30,10.16,2020,3,300533
2020-12-31,7.01,2020,4,300533
2021-03-31,7.65,2021,1,300533
2021-06-30,7.95,2021,2,300533
2021-09-30,8.30,2021,3,300533
2021-12-31,3.99,2021,4,300533
2022-03-31,5.16,2022,1,300533
2022-06-30,4.70,2022,2,300533
2022-09-30,2.59,2022,3,300533
2022-12-31,2.54,2022,4,300533
2023-03-31,3.22,2023,1,300533
2023-06-30,2.47,2023,2,300533
2023-09-30,2.58,2023,3,300533
2023-12-31,2.35,2023,4,300533
2024-03-31,1.63,2024,1,300533
2024-06-30,1.57,2024,2,300533
2024-09-30,1.62,2024,3,300533
2024-12-31,1.84,2024,4,300533
2025-03-31,2.08,2025,1,300533
2025-06-30,2.14,2025,2,300533
2025-09-30,2.33,2025,3,300533
2025-12-31,1.94,2025,4,300533
2026-03-31,1.93,2026,1,300533
