report_date,current_ratio_th,year,quarter,code
1997-12-31,0.26,1997,4,000993
1998-12-31,0.13,1998,4,000993
1999-06-30,False,1999,2,000993
1999-12-31,0.41,1999,4,000993
2000-06-30,0.34,2000,2,000993
2000-12-31,2.74,2000,4,000993
2001-06-30,2.94,2001,2,000993
2001-12-31,2.57,2001,4,000993
2002-03-31,1.49,2002,1,000993
2002-06-30,1.61,2002,2,000993
2002-09-30,1.54,2002,3,000993
2002-12-31,1.46,2002,4,000993
2003-03-31,False,2003,1,000993
2003-06-30,1.38,2003,2,000993
2003-09-30,False,2003,3,000993
2003-12-31,1.18,2003,4,000993
2004-03-31,1.18,2004,1,000993
2004-06-30,1.18,2004,2,000993
2004-09-30,1.08,2004,3,000993
2004-12-31,0.79,2004,4,000993
2005-03-31,0.76,2005,1,000993
2005-06-30,0.70,2005,2,000993
2005-09-30,0.70,2005,3,000993
2005-12-31,0.72,2005,4,000993
2006-03-31,0.78,2006,1,000993
2006-06-30,0.85,2006,2,000993
2006-09-30,0.92,2006,3,000993
2006-12-31,0.89,2006,4,000993
2007-03-31,0.96,2007,1,000993
2007-06-30,0.95,2007,2,000993
2007-09-30,0.90,2007,3,000993
2007-12-31,0.86,2007,4,000993
2008-03-31,0.83,2008,1,000993
2008-06-30,0.77,2008,2,000993
2008-09-30,0.78,2008,3,000993
2008-12-31,0.77,2008,4,000993
2009-03-31,0.78,2009,1,000993
2009-06-30,0.95,2009,2,000993
2009-09-30,1.06,2009,3,000993
2009-12-31,1.12,2009,4,000993
2010-03-31,0.98,2010,1,000993
2010-06-30,1.30,2010,2,000993
2010-09-30,1.29,2010,3,000993
2010-12-31,1.15,2010,4,000993
2011-03-31,1.12,2011,1,000993
2011-06-30,1.28,2011,2,000993
2011-09-30,1.49,2011,3,000993
2011-12-31,1.17,2011,4,000993
2012-03-31,1.17,2012,1,000993
2012-06-30,1.20,2012,2,000993
2012-09-30,1.21,2012,3,000993
2012-12-31,1.02,2012,4,000993
2013-03-31,0.99,2013,1,000993
2013-06-30,0.99,2013,2,000993
2013-09-30,0.98,2013,3,000993
2013-12-31,0.94,2013,4,000993
2014-03-31,0.97,2014,1,000993
2014-06-30,0.97,2014,2,000993
2014-09-30,0.98,2014,3,000993
2014-12-31,0.89,2014,4,000993
2015-03-31,0.90,2015,1,000993
2015-06-30,0.92,2015,2,000993
2015-09-30,1.12,2015,3,000993
2015-12-31,1.05,2015,4,000993
2016-03-31,0.92,2016,1,000993
2016-06-30,0.94,2016,2,000993
2016-09-30,0.97,2016,3,000993
2016-12-31,0.91,2016,4,000993
2017-03-31,0.94,2017,1,000993
2017-06-30,0.90,2017,2,000993
2017-09-30,0.81,2017,3,000993
2017-12-31,1.22,2017,4,000993
2018-03-31,1.04,2018,1,000993
2018-06-30,1.05,2018,2,000993
2018-09-30,1.07,2018,3,000993
2018-12-31,1.03,2018,4,000993
2019-03-31,1.18,2019,1,000993
2019-06-30,1.41,2019,2,000993
2019-09-30,1.57,2019,3,000993
2019-12-31,1.30,2019,4,000993
2020-03-31,1.32,2020,1,000993
2020-06-30,1.14,2020,2,000993
2020-09-30,1.12,2020,3,000993
2020-12-31,1.08,2020,4,000993
2021-03-31,1.09,2021,1,000993
2021-06-30,1.11,2021,2,000993
2021-09-30,1.15,2021,3,000993
2021-12-31,1.16,2021,4,000993
2022-03-31,1.13,2022,1,000993
2022-06-30,1.15,2022,2,000993
2022-09-30,1.23,2022,3,000993
2022-12-31,1.24,2022,4,000993
2023-03-31,1.33,2023,1,000993
2023-06-30,2.32,2023,2,000993
2023-09-30,3.28,2023,3,000993
2023-12-31,2.67,2023,4,000993
2024-03-31,2.65,2024,1,000993
2024-06-30,2.53,2024,2,000993
2024-09-30,2.79,2024,3,000993
2024-12-31,2.80,2024,4,000993
2025-03-31,3.22,2025,1,000993
2025-06-30,3.90,2025,2,000993
2025-09-30,4.34,2025,3,000993
2025-12-31,4.38,2025,4,000993
2026-03-31,4.93,2026,1,000993
