report_date,current_ratio_th,year,quarter,code
2017-12-31,2.39,2017,4,301181
2018-12-31,1.83,2018,4,301181
2019-12-31,1.70,2019,4,301181
2020-03-31,False,2020,1,301181
2020-06-30,2.21,2020,2,301181
2020-09-30,False,2020,3,301181
2020-12-31,2.10,2020,4,301181
2021-03-31,False,2021,1,301181
2021-06-30,2.89,2021,2,301181
2021-09-30,3.77,2021,3,301181
2021-12-31,3.39,2021,4,301181
2022-03-31,10.84,2022,1,301181
2022-06-30,10.37,2022,2,301181
2022-09-30,10.12,2022,3,301181
2022-12-31,9.37,2022,4,301181
2023-03-31,9.69,2023,1,301181
2023-06-30,8.61,2023,2,301181
2023-09-30,9.20,2023,3,301181
2023-12-31,8.03,2023,4,301181
2024-03-31,9.05,2024,1,301181
2024-06-30,8.87,2024,2,301181
2024-09-30,9.34,2024,3,301181
2024-12-31,7.26,2024,4,301181
2025-03-31,8.03,2025,1,301181
2025-06-30,7.56,2025,2,301181
2025-09-30,7.65,2025,3,301181
2025-12-31,6.75,2025,4,301181
2026-03-31,7.38,2026,1,301181
