report_date,current_ratio_th,year,quarter,code
2003-12-31,1.30,2003,4,601005
2004-12-31,1.16,2004,4,601005
2005-12-31,0.88,2005,4,601005
2006-09-30,0.73,2006,3,601005
2006-12-31,0.74,2006,4,601005
2007-03-31,0.96,2007,1,601005
2007-06-30,0.98,2007,2,601005
2007-09-30,0.99,2007,3,601005
2007-12-31,1.23,2007,4,601005
2008-03-31,1.44,2008,1,601005
2008-06-30,1.33,2008,2,601005
2008-09-30,1.32,2008,3,601005
2008-12-31,1.32,2008,4,601005
2009-03-31,1.23,2009,1,601005
2009-06-30,1.08,2009,2,601005
2009-09-30,1.33,2009,3,601005
2009-12-31,1.10,2009,4,601005
2010-03-31,1.06,2010,1,601005
2010-06-30,1.12,2010,2,601005
2010-09-30,1.18,2010,3,601005
2010-12-31,1.18,2010,4,601005
2011-03-31,1.14,2011,1,601005
2011-06-30,1.11,2011,2,601005
2011-09-30,1.00,2011,3,601005
2011-12-31,0.76,2011,4,601005
2012-03-31,0.77,2012,1,601005
2012-06-30,0.76,2012,2,601005
2012-09-30,0.72,2012,3,601005
2012-12-31,0.71,2012,4,601005
2013-03-31,0.68,2013,1,601005
2013-06-30,0.63,2013,2,601005
2013-09-30,0.63,2013,3,601005
2013-12-31,0.48,2013,4,601005
2014-03-31,0.52,2014,1,601005
2014-06-30,0.50,2014,2,601005
2014-09-30,0.49,2014,3,601005
2014-12-31,0.47,2014,4,601005
2015-03-31,0.46,2015,1,601005
2015-06-30,0.43,2015,2,601005
2015-09-30,0.43,2015,3,601005
2015-12-31,0.19,2015,4,601005
2016-03-31,0.18,2016,1,601005
2016-06-30,0.16,2016,2,601005
2016-09-30,0.12,2016,3,601005
2016-12-31,0.09,2016,4,601005
2017-03-31,0.11,2017,1,601005
2017-06-30,0.11,2017,2,601005
2017-09-30,0.13,2017,3,601005
2017-12-31,0.99,2017,4,601005
2018-03-31,1.09,2018,1,601005
2018-06-30,1.25,2018,2,601005
2018-09-30,1.40,2018,3,601005
2018-12-31,1.43,2018,4,601005
2019-03-31,1.58,2019,1,601005
2019-06-30,1.69,2019,2,601005
2019-09-30,1.73,2019,3,601005
2019-12-31,1.54,2019,4,601005
2020-03-31,1.66,2020,1,601005
2020-06-30,1.71,2020,2,601005
2020-09-30,1.45,2020,3,601005
2020-12-31,0.97,2020,4,601005
2021-03-31,1.09,2021,1,601005
2021-06-30,1.10,2021,2,601005
2021-09-30,0.92,2021,3,601005
2021-12-31,0.87,2021,4,601005
2022-03-31,0.80,2022,1,601005
2022-06-30,0.72,2022,2,601005
2022-09-30,0.68,2022,3,601005
2022-12-31,0.65,2022,4,601005
2023-03-31,0.65,2023,1,601005
2023-06-30,0.60,2023,2,601005
2023-09-30,0.68,2023,3,601005
2023-12-31,0.44,2023,4,601005
2024-03-31,0.42,2024,1,601005
2024-06-30,0.40,2024,2,601005
2024-09-30,0.32,2024,3,601005
2024-12-31,0.37,2024,4,601005
2025-03-31,0.38,2025,1,601005
2025-06-30,0.33,2025,2,601005
2025-09-30,0.32,2025,3,601005
2025-12-31,0.32,2025,4,601005
2026-03-31,0.36,2026,1,601005
