report_date,current_ratio_th,year,quarter,code
2018-12-31,1.00,2018,4,301297
2019-12-31,1.08,2019,4,301297
2020-03-31,False,2020,1,301297
2020-12-31,3.35,2020,4,301297
2021-03-31,False,2021,1,301297
2021-06-30,2.83,2021,2,301297
2021-09-30,False,2021,3,301297
2021-12-31,1.65,2021,4,301297
2022-03-31,False,2022,1,301297
2022-06-30,1.61,2022,2,301297
2022-09-30,1.71,2022,3,301297
2022-12-31,3.94,2022,4,301297
2023-03-31,5.21,2023,1,301297
2023-06-30,3.87,2023,2,301297
2023-09-30,4.74,2023,3,301297
2023-12-31,5.70,2023,4,301297
2024-03-31,5.63,2024,1,301297
2024-06-30,4.61,2024,2,301297
2024-09-30,4.77,2024,3,301297
2024-12-31,4.69,2024,4,301297
2025-03-31,5.21,2025,1,301297
2025-06-30,3.65,2025,2,301297
2025-09-30,4.18,2025,3,301297
2025-12-31,3.72,2025,4,301297
2026-03-31,4.32,2026,1,301297
