report_date,current_ratio_th,year,quarter,code
2016-12-31,1.33,2016,4,605018
2017-12-31,1.24,2017,4,605018
2018-12-31,1.65,2018,4,605018
2019-06-30,1.73,2019,2,605018
2019-09-30,False,2019,3,605018
2019-12-31,1.98,2019,4,605018
2020-03-31,False,2020,1,605018
2020-06-30,2.05,2020,2,605018
2020-09-30,2.66,2020,3,605018
2020-12-31,2.96,2020,4,605018
2021-03-31,2.86,2021,1,605018
2021-06-30,3.06,2021,2,605018
2021-09-30,2.81,2021,3,605018
2021-12-31,2.13,2021,4,605018
2022-03-31,3.46,2022,1,605018
2022-06-30,3.64,2022,2,605018
2022-09-30,3.33,2022,3,605018
2022-12-31,2.11,2022,4,605018
2023-03-31,1.95,2023,1,605018
2023-06-30,1.96,2023,2,605018
2023-09-30,2.11,2023,3,605018
2023-12-31,1.87,2023,4,605018
2024-03-31,2.35,2024,1,605018
2024-06-30,2.60,2024,2,605018
2024-09-30,3.10,2024,3,605018
2024-12-31,2.81,2024,4,605018
2025-03-31,3.26,2025,1,605018
2025-06-30,2.47,2025,2,605018
2025-09-30,2.37,2025,3,605018
2025-12-31,2.07,2025,4,605018
2026-03-31,2.41,2026,1,605018
