report_date,current_ratio_th,year,quarter,code
1997-12-31,1.61,1997,4,000980
1998-12-31,1.65,1998,4,000980
1999-06-30,False,1999,2,000980
1999-12-31,1.92,1999,4,000980
2000-06-30,3.99,2000,2,000980
2000-12-31,3.10,2000,4,000980
2001-06-30,2.82,2001,2,000980
2001-09-30,False,2001,3,000980
2001-12-31,1.70,2001,4,000980
2002-03-31,1.65,2002,1,000980
2002-06-30,1.50,2002,2,000980
2002-09-30,1.52,2002,3,000980
2002-12-31,1.41,2002,4,000980
2003-03-31,1.64,2003,1,000980
2003-06-30,1.90,2003,2,000980
2003-09-30,1.74,2003,3,000980
2003-12-31,1.91,2003,4,000980
2004-03-31,1.83,2004,1,000980
2004-06-30,1.66,2004,2,000980
2004-09-30,1.69,2004,3,000980
2004-12-31,1.49,2004,4,000980
2005-03-31,1.53,2005,1,000980
2005-06-30,1.53,2005,2,000980
2005-09-30,1.54,2005,3,000980
2005-12-31,1.73,2005,4,000980
2006-03-31,1.23,2006,1,000980
2006-06-30,1.36,2006,2,000980
2006-09-30,1.23,2006,3,000980
2006-12-31,1.27,2006,4,000980
2007-03-31,1.24,2007,1,000980
2007-06-30,1.33,2007,2,000980
2007-09-30,2.89,2007,3,000980
2007-12-31,3.11,2007,4,000980
2008-03-31,2.94,2008,1,000980
2008-06-30,2.15,2008,2,000980
2008-09-30,2.04,2008,3,000980
2008-12-31,1.74,2008,4,000980
2009-03-31,1.89,2009,1,000980
2009-06-30,2.17,2009,2,000980
2009-09-30,2.30,2009,3,000980
2009-12-31,2.17,2009,4,000980
2010-03-31,2.16,2010,1,000980
2010-06-30,2.11,2010,2,000980
2010-09-30,2.01,2010,3,000980
2010-12-31,1.74,2010,4,000980
2011-03-31,1.80,2011,1,000980
2011-06-30,1.79,2011,2,000980
2011-09-30,1.79,2011,3,000980
2011-12-31,1.66,2011,4,000980
2012-03-31,1.92,2012,1,000980
2012-06-30,1.86,2012,2,000980
2012-09-30,1.91,2012,3,000980
2012-12-31,1.84,2012,4,000980
2013-03-31,1.91,2013,1,000980
2013-06-30,1.73,2013,2,000980
2013-09-30,1.79,2013,3,000980
2013-12-31,2.62,2013,4,000980
2014-03-31,2.88,2014,1,000980
2014-06-30,2.92,2014,2,000980
2014-09-30,3.03,2014,3,000980
2014-12-31,2.54,2014,4,000980
2015-03-31,2.40,2015,1,000980
2015-06-30,2.36,2015,2,000980
2015-09-30,2.36,2015,3,000980
2015-12-31,2.12,2015,4,000980
2016-03-31,2.07,2016,1,000980
2016-06-30,2.02,2016,2,000980
2016-09-30,2.31,2016,3,000980
2016-12-31,1.65,2016,4,000980
2017-03-31,1.70,2017,1,000980
2017-06-30,1.06,2017,2,000980
2017-09-30,1.21,2017,3,000980
2017-12-31,1.22,2017,4,000980
2018-03-31,1.23,2018,1,000980
2018-06-30,1.25,2018,2,000980
2018-09-30,1.20,2018,3,000980
2018-12-31,1.22,2018,4,000980
2019-03-31,1.23,2019,1,000980
2019-06-30,1.21,2019,2,000980
2019-09-30,1.05,2019,3,000980
2019-12-31,0.88,2019,4,000980
2020-03-31,1.00,2020,1,000980
2020-06-30,0.82,2020,2,000980
2020-09-30,0.81,2020,3,000980
2020-12-31,0.39,2020,4,000980
2021-03-31,0.40,2021,1,000980
2021-06-30,0.37,2021,2,000980
2021-09-30,0.39,2021,3,000980
2021-12-31,1.69,2021,4,000980
2022-03-31,1.71,2022,1,000980
2022-06-30,1.58,2022,2,000980
2022-09-30,1.50,2022,3,000980
2022-12-31,1.23,2022,4,000980
2023-03-31,1.18,2023,1,000980
2023-06-30,1.11,2023,2,000980
2023-09-30,1.09,2023,3,000980
2023-12-31,0.97,2023,4,000980
2024-03-31,0.98,2024,1,000980
2024-06-30,0.98,2024,2,000980
2024-09-30,0.93,2024,3,000980
2024-12-31,0.63,2024,4,000980
2025-03-31,0.61,2025,1,000980
2025-06-30,0.60,2025,2,000980
2025-09-30,0.58,2025,3,000980
2025-12-31,0.53,2025,4,000980
2026-03-31,0.60,2026,1,000980
