report_date,current_ratio_th,year,quarter,code
2012-12-31,0.36,2012,4,603229
2013-12-31,0.41,2013,4,603229
2014-12-31,0.61,2014,4,603229
2015-03-31,0.87,2015,1,603229
2015-12-31,1.05,2015,4,603229
2016-03-31,False,2016,1,603229
2016-06-30,False,2016,2,603229
2016-09-30,False,2016,3,603229
2016-12-31,1.29,2016,4,603229
2017-03-31,1.30,2017,1,603229
2017-06-30,3.06,2017,2,603229
2017-09-30,3.33,2017,3,603229
2017-12-31,2.99,2017,4,603229
2018-03-31,3.00,2018,1,603229
2018-06-30,2.83,2018,2,603229
2018-09-30,2.76,2018,3,603229
2018-12-31,2.73,2018,4,603229
2019-03-31,2.67,2019,1,603229
2019-06-30,3.59,2019,2,603229
2019-09-30,2.89,2019,3,603229
2019-12-31,2.59,2019,4,603229
2020-03-31,3.06,2020,1,603229
2020-06-30,2.89,2020,2,603229
2020-09-30,2.91,2020,3,603229
2020-12-31,4.02,2020,4,603229
2021-03-31,4.62,2021,1,603229
2021-06-30,2.99,2021,2,603229
2021-09-30,2.36,2021,3,603229
2021-12-31,1.92,2021,4,603229
2022-03-31,2.00,2022,1,603229
2022-06-30,1.68,2022,2,603229
2022-09-30,1.60,2022,3,603229
2022-12-31,1.52,2022,4,603229
2023-03-31,2.19,2023,1,603229
2023-06-30,2.14,2023,2,603229
2023-09-30,2.24,2023,3,603229
2023-12-31,2.17,2023,4,603229
2024-03-31,2.38,2024,1,603229
2024-06-30,2.74,2024,2,603229
2024-09-30,2.53,2024,3,603229
2024-12-31,2.53,2024,4,603229
2025-03-31,2.57,2025,1,603229
2025-06-30,2.83,2025,2,603229
2025-09-30,2.84,2025,3,603229
2025-12-31,2.47,2025,4,603229
2026-03-31,2.64,2026,1,603229
