report_date,current_ratio_th,year,quarter,code
2014-12-31,1.33,2014,4,300745
2015-12-31,1.80,2015,4,300745
2016-12-31,3.02,2016,4,300745
2017-03-31,False,2017,1,300745
2017-06-30,False,2017,2,300745
2017-09-30,2.64,2017,3,300745
2017-12-31,2.53,2017,4,300745
2018-03-31,2.67,2018,1,300745
2018-06-30,3.25,2018,2,300745
2018-09-30,2.76,2018,3,300745
2018-12-31,2.49,2018,4,300745
2019-03-31,2.47,2019,1,300745
2019-06-30,2.47,2019,2,300745
2019-09-30,2.79,2019,3,300745
2019-12-31,2.99,2019,4,300745
2020-03-31,3.84,2020,1,300745
2020-06-30,2.80,2020,2,300745
2020-09-30,2.43,2020,3,300745
2020-12-31,1.84,2020,4,300745
2021-03-31,1.83,2021,1,300745
2021-06-30,1.93,2021,2,300745
2021-09-30,2.10,2021,3,300745
2021-12-31,1.91,2021,4,300745
2022-03-31,1.81,2022,1,300745
2022-06-30,1.58,2022,2,300745
2022-09-30,1.49,2022,3,300745
2022-12-31,1.40,2022,4,300745
2023-03-31,1.40,2023,1,300745
2023-06-30,2.29,2023,2,300745
2023-09-30,2.51,2023,3,300745
2023-12-31,2.38,2023,4,300745
2024-03-31,1.90,2024,1,300745
2024-06-30,1.87,2024,2,300745
2024-09-30,1.78,2024,3,300745
2024-12-31,1.75,2024,4,300745
2025-03-31,1.74,2025,1,300745
2025-06-30,1.67,2025,2,300745
2025-09-30,1.70,2025,3,300745
2025-12-31,1.58,2025,4,300745
2026-03-31,1.63,2026,1,300745
