report_date,current_ratio_th,year,quarter,code
1993-12-31,0.88,1993,4,000708
1994-12-31,1.01,1994,4,000708
1995-12-31,1.14,1995,4,000708
1996-12-31,1.03,1996,4,000708
1997-06-30,1.46,1997,2,000708
1997-12-31,1.23,1997,4,000708
1998-06-30,1.36,1998,2,000708
1998-12-31,1.51,1998,4,000708
1999-06-30,1.52,1999,2,000708
1999-12-31,1.35,1999,4,000708
2000-06-30,1.39,2000,2,000708
2000-12-31,1.30,2000,4,000708
2001-06-30,1.29,2001,2,000708
2001-12-31,1.17,2001,4,000708
2002-03-31,1.18,2002,1,000708
2002-06-30,1.18,2002,2,000708
2002-09-30,1.19,2002,3,000708
2002-12-31,0.84,2002,4,000708
2003-03-31,1.35,2003,1,000708
2003-06-30,1.28,2003,2,000708
2003-09-30,1.15,2003,3,000708
2003-12-31,0.73,2003,4,000708
2004-03-31,1.07,2004,1,000708
2004-06-30,1.11,2004,2,000708
2004-09-30,1.11,2004,3,000708
2004-12-31,0.84,2004,4,000708
2005-03-31,0.83,2005,1,000708
2005-06-30,0.72,2005,2,000708
2005-09-30,0.71,2005,3,000708
2005-12-31,0.79,2005,4,000708
2006-03-31,0.81,2006,1,000708
2006-06-30,0.92,2006,2,000708
2006-09-30,1.03,2006,3,000708
2006-12-31,1.06,2006,4,000708
2007-03-31,1.14,2007,1,000708
2007-06-30,1.22,2007,2,000708
2007-09-30,1.20,2007,3,000708
2007-12-31,1.19,2007,4,000708
2008-03-31,1.32,2008,1,000708
2008-06-30,1.30,2008,2,000708
2008-09-30,1.31,2008,3,000708
2008-12-31,1.10,2008,4,000708
2009-03-31,1.10,2009,1,000708
2009-06-30,1.05,2009,2,000708
2009-09-30,1.13,2009,3,000708
2009-12-31,1.10,2009,4,000708
2010-03-31,1.17,2010,1,000708
2010-06-30,1.15,2010,2,000708
2010-09-30,1.36,2010,3,000708
2010-12-31,1.24,2010,4,000708
2011-03-31,1.25,2011,1,000708
2011-06-30,1.20,2011,2,000708
2011-09-30,1.18,2011,3,000708
2011-12-31,1.19,2011,4,000708
2012-03-31,1.25,2012,1,000708
2012-06-30,1.27,2012,2,000708
2012-09-30,1.12,2012,3,000708
2012-12-31,1.30,2012,4,000708
2013-03-31,1.21,2013,1,000708
2013-06-30,1.47,2013,2,000708
2013-09-30,1.63,2013,3,000708
2013-12-31,1.60,2013,4,000708
2014-03-31,1.71,2014,1,000708
2014-06-30,1.69,2014,2,000708
2014-09-30,1.58,2014,3,000708
2014-12-31,1.45,2014,4,000708
2015-03-31,1.48,2015,1,000708
2015-06-30,1.68,2015,2,000708
2015-09-30,1.87,2015,3,000708
2015-12-31,1.79,2015,4,000708
2016-03-31,1.89,2016,1,000708
2016-06-30,1.69,2016,2,000708
2016-09-30,1.77,2016,3,000708
2016-12-31,1.70,2016,4,000708
2017-03-31,1.88,2017,1,000708
2017-06-30,1.51,2017,2,000708
2017-09-30,1.55,2017,3,000708
2017-12-31,1.59,2017,4,000708
2018-03-31,1.64,2018,1,000708
2018-06-30,1.53,2018,2,000708
2018-09-30,1.62,2018,3,000708
2018-12-31,1.66,2018,4,000708
2019-03-31,1.79,2019,1,000708
2019-06-30,1.60,2019,2,000708
2019-09-30,0.77,2019,3,000708
2019-12-31,0.78,2019,4,000708
2020-03-31,0.83,2020,1,000708
2020-06-30,0.76,2020,2,000708
2020-09-30,0.77,2020,3,000708
2020-12-31,0.85,2020,4,000708
2021-03-31,0.77,2021,1,000708
2021-06-30,0.83,2021,2,000708
2021-09-30,0.90,2021,3,000708
2021-12-31,0.85,2021,4,000708
2022-03-31,1.01,2022,1,000708
2022-06-30,0.92,2022,2,000708
2022-09-30,0.97,2022,3,000708
2022-12-31,1.00,2022,4,000708
2023-03-31,1.05,2023,1,000708
2023-06-30,0.97,2023,2,000708
2023-09-30,0.99,2023,3,000708
2023-12-31,1.03,2023,4,000708
2024-03-31,1.06,2024,1,000708
2024-06-30,1.07,2024,2,000708
2024-09-30,1.09,2024,3,000708
2024-12-31,1.12,2024,4,000708
2025-03-31,1.18,2025,1,000708
2025-06-30,1.13,2025,2,000708
2025-09-30,1.16,2025,3,000708
2025-12-31,1.18,2025,4,000708
2026-03-31,1.10,2026,1,000708
