report_date,current_ratio_th,year,quarter,code
1992-12-31,4.07,1992,4,600821
1993-12-31,1.64,1993,4,600821
1994-06-30,1.63,1994,2,600821
1994-12-31,1.30,1994,4,600821
1995-06-30,1.18,1995,2,600821
1995-12-31,0.89,1995,4,600821
1996-06-30,1.05,1996,2,600821
1996-12-31,1.61,1996,4,600821
1997-06-30,1.84,1997,2,600821
1997-12-31,2.02,1997,4,600821
1998-06-30,1.54,1998,2,600821
1998-12-31,1.25,1998,4,600821
1999-06-30,1.34,1999,2,600821
1999-12-31,1.25,1999,4,600821
2000-06-30,1.30,2000,2,600821
2000-12-31,1.11,2000,4,600821
2001-06-30,0.99,2001,2,600821
2001-12-31,0.91,2001,4,600821
2002-03-31,0.90,2002,1,600821
2002-06-30,0.86,2002,2,600821
2002-09-30,0.82,2002,3,600821
2002-12-31,0.92,2002,4,600821
2003-03-31,0.91,2003,1,600821
2003-06-30,0.91,2003,2,600821
2003-09-30,0.79,2003,3,600821
2003-12-31,0.94,2003,4,600821
2004-03-31,0.94,2004,1,600821
2004-06-30,0.94,2004,2,600821
2004-09-30,0.95,2004,3,600821
2004-12-31,0.94,2004,4,600821
2005-03-31,0.96,2005,1,600821
2005-06-30,0.95,2005,2,600821
2005-09-30,0.95,2005,3,600821
2005-12-31,0.99,2005,4,600821
2006-03-31,1.00,2006,1,600821
2006-06-30,1.00,2006,2,600821
2006-09-30,1.00,2006,3,600821
2006-12-31,1.51,2006,4,600821
2007-03-31,1.54,2007,1,600821
2007-06-30,1.61,2007,2,600821
2007-09-30,1.64,2007,3,600821
2007-12-31,1.55,2007,4,600821
2008-03-31,1.57,2008,1,600821
2008-06-30,1.59,2008,2,600821
2008-09-30,1.60,2008,3,600821
2008-12-31,0.96,2008,4,600821
2009-03-31,0.97,2009,1,600821
2009-06-30,0.98,2009,2,600821
2009-09-30,1.02,2009,3,600821
2009-12-31,0.94,2009,4,600821
2010-03-31,0.96,2010,1,600821
2010-06-30,1.20,2010,2,600821
2010-09-30,1.01,2010,3,600821
2010-12-31,0.84,2010,4,600821
2011-03-31,0.86,2011,1,600821
2011-06-30,0.85,2011,2,600821
2011-09-30,0.84,2011,3,600821
2011-12-31,0.61,2011,4,600821
2012-03-31,0.58,2012,1,600821
2012-06-30,0.60,2012,2,600821
2012-09-30,0.54,2012,3,600821
2012-12-31,0.35,2012,4,600821
2013-03-31,0.37,2013,1,600821
2013-06-30,0.33,2013,2,600821
2013-09-30,0.31,2013,3,600821
2013-12-31,0.32,2013,4,600821
2014-03-31,0.22,2014,1,600821
2014-06-30,0.24,2014,2,600821
2014-09-30,0.21,2014,3,600821
2014-12-31,0.24,2014,4,600821
2015-03-31,0.26,2015,1,600821
2015-06-30,0.22,2015,2,600821
2015-09-30,0.26,2015,3,600821
2015-12-31,0.16,2015,4,600821
2016-03-31,0.19,2016,1,600821
2016-06-30,0.32,2016,2,600821
2016-09-30,0.26,2016,3,600821
2016-12-31,0.22,2016,4,600821
2017-03-31,0.20,2017,1,600821
2017-06-30,0.16,2017,2,600821
2017-09-30,0.15,2017,3,600821
2017-12-31,0.21,2017,4,600821
2018-03-31,0.19,2018,1,600821
2018-06-30,0.11,2018,2,600821
2018-09-30,0.11,2018,3,600821
2018-12-31,0.14,2018,4,600821
2019-03-31,0.11,2019,1,600821
2019-06-30,0.10,2019,2,600821
2019-09-30,0.10,2019,3,600821
2019-12-31,0.03,2019,4,600821
2020-03-31,0.02,2020,1,600821
2020-06-30,0.02,2020,2,600821
2020-09-30,1.54,2020,3,600821
2020-12-31,1.52,2020,4,600821
2021-03-31,1.46,2021,1,600821
2021-06-30,1.23,2021,2,600821
2021-09-30,1.29,2021,3,600821
2021-12-31,1.06,2021,4,600821
2022-03-31,1.34,2022,1,600821
2022-06-30,1.22,2022,2,600821
2022-09-30,1.24,2022,3,600821
2022-12-31,1.52,2022,4,600821
2023-03-31,1.40,2023,1,600821
2023-06-30,1.39,2023,2,600821
2023-09-30,1.37,2023,3,600821
2023-12-31,1.43,2023,4,600821
2024-03-31,1.61,2024,1,600821
2024-06-30,1.38,2024,2,600821
2024-09-30,1.24,2024,3,600821
2024-12-31,1.54,2024,4,600821
2025-03-31,1.50,2025,1,600821
2025-06-30,1.44,2025,2,600821
2025-09-30,1.60,2025,3,600821
2025-12-31,1.90,2025,4,600821
2026-03-31,1.81,2026,1,600821
