report_date,current_ratio_th,year,quarter,code
2019-12-31,4.61,2019,4,688720
2020-12-31,4.39,2020,4,688720
2021-12-31,2.54,2021,4,688720
2022-03-31,1.72,2022,1,688720
2022-06-30,False,2022,2,688720
2022-09-30,False,2022,3,688720
2022-12-31,2.34,2022,4,688720
2023-03-31,False,2023,1,688720
2023-06-30,1.80,2023,2,688720
2023-09-30,1.56,2023,3,688720
2023-12-31,3.97,2023,4,688720
2024-03-31,3.35,2024,1,688720
2024-06-30,3.09,2024,2,688720
2024-09-30,2.58,2024,3,688720
2024-12-31,2.18,2024,4,688720
2025-03-31,2.37,2025,1,688720
2025-06-30,2.28,2025,2,688720
2025-09-30,2.13,2025,3,688720
2025-12-31,1.86,2025,4,688720
2026-03-31,2.37,2026,1,688720
