report_date,current_ratio_th,year,quarter,code
1995-12-31,1.32,1995,4,000908
1996-12-31,1.24,1996,4,000908
1997-12-31,2.48,1997,4,000908
1998-12-31,9.41,1998,4,000908
1999-06-30,9.92,1999,2,000908
1999-12-31,3.06,1999,4,000908
2000-06-30,3.55,2000,2,000908
2000-12-31,3.02,2000,4,000908
2001-06-30,4.01,2001,2,000908
2001-12-31,4.01,2001,4,000908
2002-03-31,2.65,2002,1,000908
2002-06-30,2.70,2002,2,000908
2002-09-30,2.40,2002,3,000908
2002-12-31,1.60,2002,4,000908
2003-03-31,False,2003,1,000908
2003-06-30,1.61,2003,2,000908
2003-09-30,False,2003,3,000908
2003-12-31,1.26,2003,4,000908
2004-03-31,1.87,2004,1,000908
2004-06-30,1.80,2004,2,000908
2004-09-30,1.72,2004,3,000908
2004-12-31,1.18,2004,4,000908
2005-03-31,1.20,2005,1,000908
2005-06-30,1.21,2005,2,000908
2005-09-30,1.22,2005,3,000908
2005-12-31,1.05,2005,4,000908
2006-03-31,1.06,2006,1,000908
2006-06-30,0.80,2006,2,000908
2006-09-30,0.79,2006,3,000908
2006-12-31,0.77,2006,4,000908
2007-03-31,0.72,2007,1,000908
2007-06-30,0.87,2007,2,000908
2007-09-30,0.86,2007,3,000908
2007-12-31,0.90,2007,4,000908
2008-03-31,0.90,2008,1,000908
2008-06-30,0.88,2008,2,000908
2008-09-30,0.87,2008,3,000908
2008-12-31,0.80,2008,4,000908
2009-03-31,0.77,2009,1,000908
2009-06-30,0.78,2009,2,000908
2009-09-30,0.88,2009,3,000908
2009-12-31,0.70,2009,4,000908
2010-03-31,0.74,2010,1,000908
2010-06-30,0.73,2010,2,000908
2010-09-30,0.78,2010,3,000908
2010-12-31,0.84,2010,4,000908
2011-03-31,0.81,2011,1,000908
2011-06-30,0.78,2011,2,000908
2011-09-30,0.74,2011,3,000908
2011-12-31,0.49,2011,4,000908
2012-03-31,0.47,2012,1,000908
2012-06-30,0.44,2012,2,000908
2012-09-30,0.43,2012,3,000908
2012-12-31,0.37,2012,4,000908
2013-03-31,0.37,2013,1,000908
2013-06-30,0.37,2013,2,000908
2013-09-30,0.44,2013,3,000908
2013-12-31,0.49,2013,4,000908
2014-03-31,0.51,2014,1,000908
2014-06-30,0.43,2014,2,000908
2014-09-30,0.42,2014,3,000908
2014-12-31,1.34,2014,4,000908
2015-03-31,1.99,2015,1,000908
2015-06-30,2.13,2015,2,000908
2015-09-30,1.96,2015,3,000908
2015-12-31,1.99,2015,4,000908
2016-03-31,2.06,2016,1,000908
2016-06-30,2.27,2016,2,000908
2016-09-30,2.26,2016,3,000908
2016-12-31,2.47,2016,4,000908
2017-03-31,2.87,2017,1,000908
2017-06-30,2.32,2017,2,000908
2017-09-30,2.32,2017,3,000908
2017-12-31,2.46,2017,4,000908
2018-03-31,2.46,2018,1,000908
2018-06-30,2.42,2018,2,000908
2018-09-30,2.38,2018,3,000908
2018-12-31,1.87,2018,4,000908
2019-03-31,2.15,2019,1,000908
2019-06-30,1.97,2019,2,000908
2019-09-30,1.59,2019,3,000908
2019-12-31,1.07,2019,4,000908
2020-03-31,1.04,2020,1,000908
2020-06-30,1.05,2020,2,000908
2020-09-30,1.01,2020,3,000908
2020-12-31,0.55,2020,4,000908
2021-03-31,0.54,2021,1,000908
2021-06-30,0.54,2021,2,000908
2021-09-30,0.51,2021,3,000908
2021-12-31,0.50,2021,4,000908
2022-03-31,0.52,2022,1,000908
2022-06-30,0.55,2022,2,000908
2022-09-30,0.53,2022,3,000908
2022-12-31,0.53,2022,4,000908
2023-03-31,0.52,2023,1,000908
2023-06-30,0.52,2023,2,000908
2023-09-30,0.51,2023,3,000908
2023-12-31,0.21,2023,4,000908
2024-03-31,0.24,2024,1,000908
2024-06-30,0.17,2024,2,000908
2024-09-30,0.20,2024,3,000908
2024-12-31,0.25,2024,4,000908
2025-03-31,0.24,2025,1,000908
2025-06-30,0.19,2025,2,000908
2025-09-30,0.39,2025,3,000908
2025-12-31,0.34,2025,4,000908
2026-03-31,4.47,2026,1,000908
