report_date,current_ratio_th,year,quarter,code
2014-12-31,1.58,2014,4,301186
2015-12-31,1.92,2015,4,301186
2016-12-31,1.93,2016,4,301186
2017-06-30,1.73,2017,2,301186
2017-12-31,1.92,2017,4,301186
2018-06-30,2.27,2018,2,301186
2018-12-31,2.45,2018,4,301186
2019-12-31,2.38,2019,4,301186
2020-03-31,False,2020,1,301186
2020-06-30,2.32,2020,2,301186
2020-09-30,False,2020,3,301186
2020-12-31,2.93,2020,4,301186
2021-03-31,False,2021,1,301186
2021-06-30,3.75,2021,2,301186
2021-09-30,3.56,2021,3,301186
2021-12-31,4.77,2021,4,301186
2022-03-31,4.85,2022,1,301186
2022-06-30,4.20,2022,2,301186
2022-09-30,3.51,2022,3,301186
2022-12-31,3.63,2022,4,301186
2023-03-31,4.09,2023,1,301186
2023-06-30,5.36,2023,2,301186
2023-09-30,5.26,2023,3,301186
2023-12-31,5.07,2023,4,301186
2024-03-31,4.82,2024,1,301186
2024-06-30,5.85,2024,2,301186
2024-09-30,5.40,2024,3,301186
2024-12-31,5.11,2024,4,301186
2025-03-31,5.14,2025,1,301186
2025-06-30,4.56,2025,2,301186
2025-09-30,4.63,2025,3,301186
2025-12-31,4.41,2025,4,301186
2026-03-31,4.28,2026,1,301186
