report_date,current_ratio_th,year,quarter,code
2017-12-31,1.98,2017,4,301369
2018-12-31,1.71,2018,4,301369
2019-12-31,5.49,2019,4,301369
2020-03-31,6.83,2020,1,301369
2020-12-31,5.37,2020,4,301369
2021-03-31,False,2021,1,301369
2021-06-30,4.28,2021,2,301369
2021-09-30,False,2021,3,301369
2021-12-31,4.25,2021,4,301369
2022-03-31,False,2022,1,301369
2022-06-30,5.76,2022,2,301369
2022-09-30,15.89,2022,3,301369
2022-12-31,14.21,2022,4,301369
2023-03-31,13.62,2023,1,301369
2023-06-30,14.77,2023,2,301369
2023-09-30,12.58,2023,3,301369
2023-12-31,11.63,2023,4,301369
2024-03-31,13.25,2024,1,301369
2024-06-30,12.09,2024,2,301369
2024-09-30,14.72,2024,3,301369
2024-12-31,14.28,2024,4,301369
2025-03-31,16.23,2025,1,301369
2025-06-30,11.94,2025,2,301369
2025-09-30,13.78,2025,3,301369
2025-12-31,9.81,2025,4,301369
2026-03-31,10.19,2026,1,301369
