report_date,current_ratio_th,year,quarter,code
1992-12-31,0.93,1992,4,000027
1993-12-31,0.89,1993,4,000027
1994-06-30,1.04,1994,2,000027
1994-12-31,0.73,1994,4,000027
1995-06-30,1.03,1995,2,000027
1995-12-31,0.44,1995,4,000027
1996-06-30,0.79,1996,2,000027
1996-12-31,0.64,1996,4,000027
1997-06-30,0.81,1997,2,000027
1997-12-31,0.82,1997,4,000027
1998-06-30,1.31,1998,2,000027
1998-12-31,0.90,1998,4,000027
1999-06-30,1.02,1999,2,000027
1999-12-31,0.75,1999,4,000027
2000-06-30,0.76,2000,2,000027
2000-12-31,0.67,2000,4,000027
2001-06-30,0.62,2001,2,000027
2001-12-31,0.64,2001,4,000027
2002-03-31,0.69,2002,1,000027
2002-06-30,1.30,2002,2,000027
2002-09-30,1.32,2002,3,000027
2002-12-31,1.61,2002,4,000027
2003-03-31,1.82,2003,1,000027
2003-06-30,2.07,2003,2,000027
2003-09-30,2.36,2003,3,000027
2003-12-31,2.26,2003,4,000027
2004-03-31,2.43,2004,1,000027
2004-06-30,2.28,2004,2,000027
2004-09-30,2.25,2004,3,000027
2004-12-31,2.33,2004,4,000027
2005-03-31,2.42,2005,1,000027
2005-06-30,2.03,2005,2,000027
2005-09-30,2.59,2005,3,000027
2005-12-31,4.35,2005,4,000027
2006-03-31,False,2006,1,000027
2006-06-30,2.17,2006,2,000027
2006-09-30,3.23,2006,3,000027
2006-12-31,1.83,2006,4,000027
2007-03-31,5.34,2007,1,000027
2007-06-30,2.96,2007,2,000027
2007-09-30,3.70,2007,3,000027
2007-12-31,1.05,2007,4,000027
2008-03-31,0.99,2008,1,000027
2008-06-30,0.89,2008,2,000027
2008-09-30,0.88,2008,3,000027
2008-12-31,0.74,2008,4,000027
2009-03-31,0.70,2009,1,000027
2009-06-30,0.85,2009,2,000027
2009-09-30,0.86,2009,3,000027
2009-12-31,0.80,2009,4,000027
2010-03-31,0.83,2010,1,000027
2010-06-30,0.84,2010,2,000027
2010-09-30,1.12,2010,3,000027
2010-12-31,1.12,2010,4,000027
2011-03-31,1.14,2011,1,000027
2011-06-30,1.12,2011,2,000027
2011-09-30,1.08,2011,3,000027
2011-12-31,1.06,2011,4,000027
2012-03-31,1.32,2012,1,000027
2012-06-30,1.34,2012,2,000027
2012-09-30,1.47,2012,3,000027
2012-12-31,0.98,2012,4,000027
2013-03-31,1.04,2013,1,000027
2013-06-30,0.82,2013,2,000027
2013-09-30,0.88,2013,3,000027
2013-12-31,0.85,2013,4,000027
2014-03-31,0.88,2014,1,000027
2014-06-30,0.88,2014,2,000027
2014-09-30,0.87,2014,3,000027
2014-12-31,0.87,2014,4,000027
2015-03-31,0.83,2015,1,000027
2015-06-30,0.87,2015,2,000027
2015-09-30,0.83,2015,3,000027
2015-12-31,0.88,2015,4,000027
2016-03-31,0.89,2016,1,000027
2016-06-30,0.89,2016,2,000027
2016-09-30,0.97,2016,3,000027
2016-12-31,0.73,2016,4,000027
2017-03-31,0.84,2017,1,000027
2017-06-30,0.70,2017,2,000027
2017-09-30,0.72,2017,3,000027
2017-12-31,0.72,2017,4,000027
2018-03-31,0.72,2018,1,000027
2018-06-30,0.84,2018,2,000027
2018-09-30,0.86,2018,3,000027
2018-12-31,0.93,2018,4,000027
2019-03-31,0.93,2019,1,000027
2019-06-30,0.93,2019,2,000027
2019-09-30,1.12,2019,3,000027
2019-12-31,0.59,2019,4,000027
2020-03-31,0.81,2020,1,000027
2020-06-30,0.86,2020,2,000027
2020-09-30,0.78,2020,3,000027
2020-12-31,0.94,2020,4,000027
2021-03-31,1.19,2021,1,000027
2021-06-30,1.12,2021,2,000027
2021-09-30,1.11,2021,3,000027
2021-12-31,0.97,2021,4,000027
2022-03-31,1.13,2022,1,000027
2022-06-30,1.19,2022,2,000027
2022-09-30,1.21,2022,3,000027
2022-12-31,1.02,2022,4,000027
2023-03-31,1.12,2023,1,000027
2023-06-30,1.14,2023,2,000027
2023-09-30,1.18,2023,3,000027
2023-12-31,1.03,2023,4,000027
2024-03-31,1.14,2024,1,000027
2024-06-30,1.18,2024,2,000027
2024-09-30,1.13,2024,3,000027
2024-12-31,0.94,2024,4,000027
2025-03-31,1.25,2025,1,000027
2025-06-30,1.17,2025,2,000027
2025-09-30,1.08,2025,3,000027
2025-12-31,1.07,2025,4,000027
2026-03-31,1.20,2026,1,000027
