report_date,current_ratio_th,year,quarter,code
2016-12-31,3.07,2016,4,605116
2017-12-31,4.23,2017,4,605116
2018-12-31,4.27,2018,4,605116
2019-06-30,5.15,2019,2,605116
2019-09-30,False,2019,3,605116
2019-12-31,5.70,2019,4,605116
2020-03-31,False,2020,1,605116
2020-06-30,6.32,2020,2,605116
2020-09-30,7.83,2020,3,605116
2020-12-31,6.90,2020,4,605116
2021-03-31,7.14,2021,1,605116
2021-06-30,7.00,2021,2,605116
2021-09-30,6.81,2021,3,605116
2021-12-31,4.87,2021,4,605116
2022-03-31,6.13,2022,1,605116
2022-06-30,5.15,2022,2,605116
2022-09-30,5.51,2022,3,605116
2022-12-31,3.38,2022,4,605116
2023-03-31,3.33,2023,1,605116
2023-06-30,2.95,2023,2,605116
2023-09-30,3.08,2023,3,605116
2023-12-31,2.73,2023,4,605116
2024-03-31,2.77,2024,1,605116
2024-06-30,2.22,2024,2,605116
2024-09-30,3.90,2024,3,605116
2024-12-31,3.85,2024,4,605116
2025-03-31,4.62,2025,1,605116
2025-06-30,4.51,2025,2,605116
2025-09-30,4.30,2025,3,605116
2025-12-31,3.95,2025,4,605116
2026-03-31,4.22,2026,1,605116
