report_date,current_ratio_th,year,quarter,code
2017-12-31,1.73,2017,4,301000
2018-12-31,2.52,2018,4,301000
2019-09-30,False,2019,3,301000
2019-12-31,2.19,2019,4,301000
2020-03-31,False,2020,1,301000
2020-06-30,1.90,2020,2,301000
2020-09-30,False,2020,3,301000
2020-12-31,2.05,2020,4,301000
2021-03-31,2.19,2021,1,301000
2021-06-30,4.97,2021,2,301000
2021-09-30,7.25,2021,3,301000
2021-12-31,7.74,2021,4,301000
2022-03-31,8.87,2022,1,301000
2022-06-30,8.58,2022,2,301000
2022-09-30,7.83,2022,3,301000
2022-12-31,7.42,2022,4,301000
2023-03-31,8.15,2023,1,301000
2023-06-30,7.54,2023,2,301000
2023-09-30,6.99,2023,3,301000
2023-12-31,5.62,2023,4,301000
2024-03-31,6.78,2024,1,301000
2024-06-30,5.56,2024,2,301000
2024-09-30,5.85,2024,3,301000
2024-12-31,5.41,2024,4,301000
2025-03-31,6.50,2025,1,301000
2025-06-30,5.35,2025,2,301000
2025-09-30,4.92,2025,3,301000
2025-12-31,4.24,2025,4,301000
2026-03-31,4.98,2026,1,301000
