report_date,current_ratio_th,year,quarter,code
2006-12-31,1.58,2006,4,002328
2007-12-31,1.73,2007,4,002328
2008-09-30,False,2008,3,002328
2008-12-31,2.50,2008,4,002328
2009-03-31,False,2009,1,002328
2009-06-30,3.08,2009,2,002328
2009-09-30,2.77,2009,3,002328
2009-12-31,9.58,2009,4,002328
2010-03-31,10.28,2010,1,002328
2010-06-30,8.77,2010,2,002328
2010-09-30,7.94,2010,3,002328
2010-12-31,9.76,2010,4,002328
2011-03-31,7.12,2011,1,002328
2011-06-30,8.00,2011,2,002328
2011-09-30,6.63,2011,3,002328
2011-12-31,6.33,2011,4,002328
2012-03-31,6.75,2012,1,002328
2012-06-30,7.20,2012,2,002328
2012-09-30,7.13,2012,3,002328
2012-12-31,4.11,2012,4,002328
2013-03-31,3.74,2013,1,002328
2013-06-30,3.26,2013,2,002328
2013-09-30,2.93,2013,3,002328
2013-12-31,2.22,2013,4,002328
2014-03-31,2.11,2014,1,002328
2014-06-30,1.96,2014,2,002328
2014-09-30,2.15,2014,3,002328
2014-12-31,2.14,2014,4,002328
2015-03-31,2.03,2015,1,002328
2015-06-30,2.08,2015,2,002328
2015-09-30,2.24,2015,3,002328
2015-12-31,2.07,2015,4,002328
2016-03-31,1.76,2016,1,002328
2016-06-30,1.89,2016,2,002328
2016-09-30,1.88,2016,3,002328
2016-12-31,1.65,2016,4,002328
2017-03-31,1.58,2017,1,002328
2017-06-30,1.67,2017,2,002328
2017-09-30,1.68,2017,3,002328
2017-12-31,1.74,2017,4,002328
2018-03-31,1.94,2018,1,002328
2018-06-30,1.58,2018,2,002328
2018-09-30,1.72,2018,3,002328
2018-12-31,1.69,2018,4,002328
2019-03-31,1.78,2019,1,002328
2019-06-30,1.84,2019,2,002328
2019-09-30,1.91,2019,3,002328
2019-12-31,1.83,2019,4,002328
2020-03-31,1.79,2020,1,002328
2020-06-30,1.73,2020,2,002328
2020-09-30,1.56,2020,3,002328
2020-12-31,1.57,2020,4,002328
2021-03-31,1.72,2021,1,002328
2021-06-30,1.61,2021,2,002328
2021-09-30,1.49,2021,3,002328
2021-12-31,1.58,2021,4,002328
2022-03-31,1.57,2022,1,002328
2022-06-30,1.59,2022,2,002328
2022-09-30,1.64,2022,3,002328
2022-12-31,1.80,2022,4,002328
2023-03-31,1.79,2023,1,002328
2023-06-30,2.09,2023,2,002328
2023-09-30,2.03,2023,3,002328
2023-12-31,1.96,2023,4,002328
2024-03-31,1.98,2024,1,002328
2024-06-30,2.09,2024,2,002328
2024-09-30,2.13,2024,3,002328
2024-12-31,2.13,2024,4,002328
2025-03-31,2.24,2025,1,002328
2025-06-30,2.28,2025,2,002328
2025-09-30,2.35,2025,3,002328
2025-12-31,2.48,2025,4,002328
2026-03-31,2.33,2026,1,002328
