report_date,current_ratio_th,year,quarter,code
2009-12-31,3.22,2009,4,603005
2010-12-31,5.34,2010,4,603005
2011-12-31,3.85,2011,4,603005
2012-09-30,False,2012,3,603005
2012-12-31,6.67,2012,4,603005
2013-03-31,False,2013,1,603005
2013-06-30,2.25,2013,2,603005
2013-09-30,2.48,2013,3,603005
2013-12-31,1.86,2013,4,603005
2014-03-31,2.83,2014,1,603005
2014-06-30,5.61,2014,2,603005
2014-09-30,4.29,2014,3,603005
2014-12-31,2.88,2014,4,603005
2015-03-31,3.15,2015,1,603005
2015-06-30,3.70,2015,2,603005
2015-09-30,4.09,2015,3,603005
2015-12-31,2.92,2015,4,603005
2016-03-31,3.43,2016,1,603005
2016-06-30,4.02,2016,2,603005
2016-09-30,4.95,2016,3,603005
2016-12-31,4.31,2016,4,603005
2017-03-31,4.53,2017,1,603005
2017-06-30,3.67,2017,2,603005
2017-09-30,3.96,2017,3,603005
2017-12-31,4.12,2017,4,603005
2018-03-31,4.73,2018,1,603005
2018-06-30,4.32,2018,2,603005
2018-09-30,4.71,2018,3,603005
2018-12-31,5.68,2018,4,603005
2019-03-31,7.66,2019,1,603005
2019-06-30,8.62,2019,2,603005
2019-09-30,7.97,2019,3,603005
2019-12-31,6.70,2019,4,603005
2020-03-31,7.43,2020,1,603005
2020-06-30,6.21,2020,2,603005
2020-09-30,5.72,2020,3,603005
2020-12-31,10.23,2020,4,603005
2021-03-31,12.19,2021,1,603005
2021-06-30,4.74,2021,2,603005
2021-09-30,7.00,2021,3,603005
2021-12-31,7.36,2021,4,603005
2022-03-31,8.46,2022,1,603005
2022-06-30,7.98,2022,2,603005
2022-09-30,7.86,2022,3,603005
2022-12-31,5.90,2022,4,603005
2023-03-31,4.80,2023,1,603005
2023-06-30,4.49,2023,2,603005
2023-09-30,4.30,2023,3,603005
2023-12-31,5.69,2023,4,603005
2024-03-31,5.86,2024,1,603005
2024-06-30,8.16,2024,2,603005
2024-09-30,8.28,2024,3,603005
2024-12-31,8.09,2024,4,603005
2025-03-31,8.22,2025,1,603005
2025-06-30,4.99,2025,2,603005
2025-09-30,5.13,2025,3,603005
2025-12-31,6.36,2025,4,603005
2026-03-31,4.96,2026,1,603005
