report_date,current_ratio_th,year,quarter,code
1999-12-31,False,1999,4,600578
2000-12-31,0.84,2000,4,600578
2001-12-31,1.04,2001,4,600578
2002-06-30,2.33,2002,2,600578
2002-09-30,3.10,2002,3,600578
2002-12-31,2.27,2002,4,600578
2003-03-31,2.16,2003,1,600578
2003-06-30,2.86,2003,2,600578
2003-09-30,2.76,2003,3,600578
2003-12-31,0.67,2003,4,600578
2004-03-31,0.87,2004,1,600578
2004-06-30,1.14,2004,2,600578
2004-09-30,0.91,2004,3,600578
2004-12-31,1.08,2004,4,600578
2005-03-31,1.35,2005,1,600578
2005-06-30,1.46,2005,2,600578
2005-09-30,1.22,2005,3,600578
2005-12-31,1.26,2005,4,600578
2006-03-31,1.52,2006,1,600578
2006-06-30,1.69,2006,2,600578
2006-09-30,1.34,2006,3,600578
2006-12-31,1.45,2006,4,600578
2007-03-31,1.32,2007,1,600578
2007-06-30,1.29,2007,2,600578
2007-09-30,1.21,2007,3,600578
2007-12-31,0.76,2007,4,600578
2008-03-31,0.84,2008,1,600578
2008-06-30,0.85,2008,2,600578
2008-09-30,0.80,2008,3,600578
2008-12-31,0.64,2008,4,600578
2009-03-31,0.70,2009,1,600578
2009-06-30,0.46,2009,2,600578
2009-09-30,0.30,2009,3,600578
2009-12-31,0.36,2009,4,600578
2010-03-31,0.33,2010,1,600578
2010-06-30,0.47,2010,2,600578
2010-09-30,0.46,2010,3,600578
2010-12-31,0.46,2010,4,600578
2011-03-31,0.48,2011,1,600578
2011-06-30,0.38,2011,2,600578
2011-09-30,0.36,2011,3,600578
2011-12-31,0.59,2011,4,600578
2012-03-31,0.50,2012,1,600578
2012-06-30,0.53,2012,2,600578
2012-09-30,0.54,2012,3,600578
2012-12-31,0.50,2012,4,600578
2013-03-31,0.94,2013,1,600578
2013-06-30,0.69,2013,2,600578
2013-09-30,0.74,2013,3,600578
2013-12-31,0.60,2013,4,600578
2014-03-31,0.74,2014,1,600578
2014-06-30,0.94,2014,2,600578
2014-09-30,0.76,2014,3,600578
2014-12-31,0.56,2014,4,600578
2015-03-31,0.58,2015,1,600578
2015-06-30,0.59,2015,2,600578
2015-09-30,0.68,2015,3,600578
2015-12-31,0.62,2015,4,600578
2016-03-31,0.57,2016,1,600578
2016-06-30,0.65,2016,2,600578
2016-09-30,0.65,2016,3,600578
2016-12-31,0.33,2016,4,600578
2017-03-31,0.51,2017,1,600578
2017-06-30,0.46,2017,2,600578
2017-09-30,0.50,2017,3,600578
2017-12-31,0.40,2017,4,600578
2018-03-31,0.49,2018,1,600578
2018-06-30,0.42,2018,2,600578
2018-09-30,0.47,2018,3,600578
2018-12-31,0.57,2018,4,600578
2019-03-31,0.56,2019,1,600578
2019-06-30,0.66,2019,2,600578
2019-09-30,0.62,2019,3,600578
2019-12-31,0.48,2019,4,600578
2020-03-31,0.54,2020,1,600578
2020-06-30,0.48,2020,2,600578
2020-09-30,0.51,2020,3,600578
2020-12-31,0.49,2020,4,600578
2021-03-31,0.48,2021,1,600578
2021-06-30,0.42,2021,2,600578
2021-09-30,0.40,2021,3,600578
2021-12-31,0.45,2021,4,600578
2022-03-31,0.48,2022,1,600578
2022-06-30,0.52,2022,2,600578
2022-09-30,0.53,2022,3,600578
2022-12-31,0.49,2022,4,600578
2023-03-31,0.57,2023,1,600578
2023-06-30,0.54,2023,2,600578
2023-09-30,0.55,2023,3,600578
2023-12-31,0.56,2023,4,600578
2024-03-31,0.58,2024,1,600578
2024-06-30,0.57,2024,2,600578
2024-09-30,0.64,2024,3,600578
2024-12-31,0.51,2024,4,600578
2025-03-31,0.63,2025,1,600578
2025-06-30,0.59,2025,2,600578
2025-09-30,0.54,2025,3,600578
2025-12-31,0.42,2025,4,600578
2026-03-31,0.48,2026,1,600578
