report_date,current_ratio_th,year,quarter,code
2012-12-31,1.68,2012,4,002965
2013-12-31,1.83,2013,4,002965
2014-12-31,1.71,2014,4,002965
2015-03-31,1.78,2015,1,002965
2015-12-31,1.41,2015,4,002965
2016-12-31,1.49,2016,4,002965
2017-12-31,1.30,2017,4,002965
2018-06-30,1.46,2018,2,002965
2018-09-30,False,2018,3,002965
2018-12-31,1.46,2018,4,002965
2019-03-31,False,2019,1,002965
2019-06-30,1.52,2019,2,002965
2019-09-30,1.50,2019,3,002965
2019-12-31,2.39,2019,4,002965
2020-03-31,2.67,2020,1,002965
2020-06-30,2.36,2020,2,002965
2020-09-30,2.30,2020,3,002965
2020-12-31,2.87,2020,4,002965
2021-03-31,2.91,2021,1,002965
2021-06-30,2.83,2021,2,002965
2021-09-30,2.80,2021,3,002965
2021-12-31,2.14,2021,4,002965
2022-03-31,1.87,2022,1,002965
2022-06-30,1.78,2022,2,002965
2022-09-30,1.64,2022,3,002965
2022-12-31,1.53,2022,4,002965
2023-03-31,1.55,2023,1,002965
2023-06-30,1.47,2023,2,002965
2023-09-30,1.47,2023,3,002965
2023-12-31,1.41,2023,4,002965
2024-03-31,1.47,2024,1,002965
2024-06-30,1.77,2024,2,002965
2024-09-30,1.68,2024,3,002965
2024-12-31,1.61,2024,4,002965
2025-03-31,1.63,2025,1,002965
2025-06-30,1.54,2025,2,002965
2025-09-30,1.48,2025,3,002965
2025-12-31,1.41,2025,4,002965
2026-03-31,1.42,2026,1,002965
