report_date,current_ratio_th,year,quarter,code
2013-12-31,0.67,2013,4,688535
2014-12-31,0.80,2014,4,688535
2015-06-30,False,2015,2,688535
2015-09-30,0.83,2015,3,688535
2015-12-31,0.83,2015,4,688535
2016-06-30,0.92,2016,2,688535
2016-12-31,1.26,2016,4,688535
2017-06-30,1.32,2017,2,688535
2017-12-31,1.10,2017,4,688535
2018-06-30,1.11,2018,2,688535
2018-12-31,1.24,2018,4,688535
2019-06-30,1.18,2019,2,688535
2019-12-31,1.13,2019,4,688535
2020-06-30,1.16,2020,2,688535
2020-12-31,1.14,2020,4,688535
2021-09-30,False,2021,3,688535
2021-12-31,2.67,2021,4,688535
2022-03-31,False,2022,1,688535
2022-06-30,2.78,2022,2,688535
2022-09-30,False,2022,3,688535
2022-12-31,2.98,2022,4,688535
2023-03-31,9.56,2023,1,688535
2023-06-30,7.20,2023,2,688535
2023-09-30,7.01,2023,3,688535
2023-12-31,1.86,2023,4,688535
2024-03-31,2.11,2024,1,688535
2024-06-30,1.79,2024,2,688535
2024-09-30,1.67,2024,3,688535
2024-12-31,1.87,2024,4,688535
2025-03-31,1.89,2025,1,688535
2025-06-30,1.58,2025,2,688535
2025-09-30,1.62,2025,3,688535
2025-12-31,4.36,2025,4,688535
2026-03-31,3.69,2026,1,688535
