report_date,current_ratio_th,year,quarter,code
2018-12-31,0.40,2018,4,001286
2019-12-31,0.31,2019,4,001286
2020-12-31,0.47,2020,4,001286
2021-06-30,0.45,2021,2,001286
2021-12-31,0.49,2021,4,001286
2022-03-31,False,2022,1,001286
2022-06-30,0.49,2022,2,001286
2022-09-30,False,2022,3,001286
2022-12-31,0.53,2022,4,001286
2023-03-31,0.60,2023,1,001286
2023-06-30,0.89,2023,2,001286
2023-09-30,0.88,2023,3,001286
2023-12-31,0.77,2023,4,001286
2024-03-31,0.74,2024,1,001286
2024-06-30,0.58,2024,2,001286
2024-09-30,0.65,2024,3,001286
2024-12-31,0.59,2024,4,001286
2025-03-31,0.62,2025,1,001286
2025-06-30,0.48,2025,2,001286
2025-09-30,0.59,2025,3,001286
2025-12-31,0.52,2025,4,001286
2026-03-31,0.58,2026,1,001286
