report_date,current_ratio_th,year,quarter,code
2015-12-31,1.30,2015,4,603290
2016-12-31,2.15,2016,4,603290
2017-12-31,2.12,2017,4,603290
2018-06-30,1.96,2018,2,603290
2018-09-30,False,2018,3,603290
2018-12-31,2.33,2018,4,603290
2019-03-31,False,2019,1,603290
2019-06-30,2.20,2019,2,603290
2019-09-30,False,2019,3,603290
2019-12-31,2.77,2019,4,603290
2020-03-31,7.65,2020,1,603290
2020-06-30,6.93,2020,2,603290
2020-09-30,6.28,2020,3,603290
2020-12-31,6.23,2020,4,603290
2021-03-31,5.85,2021,1,603290
2021-06-30,5.59,2021,2,603290
2021-09-30,4.38,2021,3,603290
2021-12-31,15.66,2021,4,603290
2022-03-31,15.48,2022,1,603290
2022-06-30,13.02,2022,2,603290
2022-09-30,10.63,2022,3,603290
2022-12-31,8.91,2022,4,603290
2023-03-31,9.33,2023,1,603290
2023-06-30,6.99,2023,2,603290
2023-09-30,6.54,2023,3,603290
2023-12-31,6.31,2023,4,603290
2024-03-31,5.08,2024,1,603290
2024-06-30,4.11,2024,2,603290
2024-09-30,3.58,2024,3,603290
2024-12-31,3.83,2024,4,603290
2025-03-31,3.62,2025,1,603290
2025-06-30,3.32,2025,2,603290
2025-09-30,3.50,2025,3,603290
2025-12-31,3.32,2025,4,603290
2026-03-31,2.90,2026,1,603290
