report_date,current_ratio_th,year,quarter,code
1997-12-31,1.05,1997,4,600236
1998-12-31,1.08,1998,4,600236
1999-06-30,False,1999,2,600236
1999-12-31,0.72,1999,4,600236
2000-06-30,2.84,2000,2,600236
2000-12-31,2.67,2000,4,600236
2001-06-30,6.21,2001,2,600236
2001-09-30,False,2001,3,600236
2001-12-31,2.55,2001,4,600236
2002-03-31,2.14,2002,1,600236
2002-06-30,1.87,2002,2,600236
2002-09-30,2.02,2002,3,600236
2002-12-31,1.14,2002,4,600236
2003-03-31,1.06,2003,1,600236
2003-06-30,1.06,2003,2,600236
2003-09-30,2.64,2003,3,600236
2003-12-31,3.11,2003,4,600236
2004-03-31,5.58,2004,1,600236
2004-06-30,4.51,2004,2,600236
2004-09-30,4.09,2004,3,600236
2004-12-31,0.88,2004,4,600236
2005-03-31,0.55,2005,1,600236
2005-06-30,0.45,2005,2,600236
2005-09-30,0.51,2005,3,600236
2005-12-31,0.45,2005,4,600236
2006-03-31,0.43,2006,1,600236
2006-06-30,0.83,2006,2,600236
2006-09-30,1.34,2006,3,600236
2006-12-31,1.00,2006,4,600236
2007-03-31,1.18,2007,1,600236
2007-06-30,1.02,2007,2,600236
2007-09-30,0.88,2007,3,600236
2007-12-31,0.40,2007,4,600236
2008-03-31,0.53,2008,1,600236
2008-06-30,0.59,2008,2,600236
2008-09-30,0.59,2008,3,600236
2008-12-31,0.74,2008,4,600236
2009-03-31,0.67,2009,1,600236
2009-06-30,0.62,2009,2,600236
2009-09-30,0.68,2009,3,600236
2009-12-31,0.58,2009,4,600236
2010-03-31,0.81,2010,1,600236
2010-06-30,0.64,2010,2,600236
2010-09-30,0.77,2010,3,600236
2010-12-31,0.47,2010,4,600236
2011-03-31,0.60,2011,1,600236
2011-06-30,0.70,2011,2,600236
2011-09-30,0.72,2011,3,600236
2011-12-31,0.47,2011,4,600236
2012-03-31,0.53,2012,1,600236
2012-06-30,0.52,2012,2,600236
2012-09-30,0.42,2012,3,600236
2012-12-31,0.44,2012,4,600236
2013-03-31,0.75,2013,1,600236
2013-06-30,0.92,2013,2,600236
2013-09-30,1.16,2013,3,600236
2013-12-31,0.75,2013,4,600236
2014-03-31,0.81,2014,1,600236
2014-06-30,0.78,2014,2,600236
2014-09-30,0.87,2014,3,600236
2014-12-31,0.82,2014,4,600236
2015-03-31,0.91,2015,1,600236
2015-06-30,0.50,2015,2,600236
2015-09-30,0.58,2015,3,600236
2015-12-31,0.83,2015,4,600236
2016-03-31,0.94,2016,1,600236
2016-06-30,0.62,2016,2,600236
2016-09-30,0.67,2016,3,600236
2016-12-31,0.53,2016,4,600236
2017-03-31,0.46,2017,1,600236
2017-06-30,0.49,2017,2,600236
2017-09-30,0.58,2017,3,600236
2017-12-31,0.63,2017,4,600236
2018-03-31,0.61,2018,1,600236
2018-06-30,0.41,2018,2,600236
2018-09-30,0.43,2018,3,600236
2018-12-31,0.38,2018,4,600236
2019-03-31,0.47,2019,1,600236
2019-06-30,0.37,2019,2,600236
2019-09-30,0.44,2019,3,600236
2019-12-31,0.36,2019,4,600236
2020-03-31,0.42,2020,1,600236
2020-06-30,0.53,2020,2,600236
2020-09-30,0.62,2020,3,600236
2020-12-31,0.58,2020,4,600236
2021-03-31,0.72,2021,1,600236
2021-06-30,0.54,2021,2,600236
2021-09-30,0.52,2021,3,600236
2021-12-31,0.43,2021,4,600236
2022-03-31,0.38,2022,1,600236
2022-06-30,0.38,2022,2,600236
2022-09-30,0.33,2022,3,600236
2022-12-31,0.26,2022,4,600236
2023-03-31,0.28,2023,1,600236
2023-06-30,0.29,2023,2,600236
2023-09-30,0.30,2023,3,600236
2023-12-31,0.25,2023,4,600236
2024-03-31,0.30,2024,1,600236
2024-06-30,0.31,2024,2,600236
2024-09-30,0.33,2024,3,600236
2024-12-31,0.26,2024,4,600236
2025-03-31,0.30,2025,1,600236
2025-06-30,0.31,2025,2,600236
2025-09-30,0.33,2025,3,600236
2025-12-31,0.39,2025,4,600236
2026-03-31,0.46,2026,1,600236
