report_date,current_ratio_th,year,quarter,code
1994-12-31,1.10,1994,4,600081
1995-12-31,1.23,1995,4,600081
1996-12-31,1.08,1996,4,600081
1997-06-30,2.00,1997,2,600081
1997-12-31,1.66,1997,4,600081
1998-06-30,1.50,1998,2,600081
1998-12-31,1.21,1998,4,600081
1999-06-30,1.27,1999,2,600081
1999-12-31,1.34,1999,4,600081
2000-06-30,1.37,2000,2,600081
2000-09-30,False,2000,3,600081
2000-12-31,1.12,2000,4,600081
2001-06-30,1.12,2001,2,600081
2001-09-30,1.12,2001,3,600081
2001-12-31,0.91,2001,4,600081
2002-03-31,1.01,2002,1,600081
2002-06-30,1.07,2002,2,600081
2002-09-30,1.12,2002,3,600081
2002-12-31,1.09,2002,4,600081
2003-03-31,1.10,2003,1,600081
2003-06-30,1.01,2003,2,600081
2003-09-30,0.98,2003,3,600081
2003-12-31,0.99,2003,4,600081
2004-03-31,1.01,2004,1,600081
2004-06-30,1.06,2004,2,600081
2004-09-30,1.04,2004,3,600081
2004-12-31,1.03,2004,4,600081
2005-03-31,1.02,2005,1,600081
2005-06-30,0.96,2005,2,600081
2005-09-30,0.93,2005,3,600081
2005-12-31,0.77,2005,4,600081
2006-03-31,0.78,2006,1,600081
2006-06-30,0.80,2006,2,600081
2006-09-30,0.83,2006,3,600081
2006-12-31,0.74,2006,4,600081
2007-03-31,0.74,2007,1,600081
2007-06-30,0.77,2007,2,600081
2007-09-30,0.76,2007,3,600081
2007-12-31,0.78,2007,4,600081
2008-03-31,0.79,2008,1,600081
2008-06-30,0.77,2008,2,600081
2008-09-30,0.78,2008,3,600081
2008-12-31,0.61,2008,4,600081
2009-03-31,0.59,2009,1,600081
2009-06-30,0.68,2009,2,600081
2009-09-30,0.71,2009,3,600081
2009-12-31,0.74,2009,4,600081
2010-03-31,0.83,2010,1,600081
2010-06-30,0.90,2010,2,600081
2010-09-30,0.98,2010,3,600081
2010-12-31,1.02,2010,4,600081
2011-03-31,1.07,2011,1,600081
2011-06-30,1.05,2011,2,600081
2011-09-30,1.09,2011,3,600081
2011-12-31,1.02,2011,4,600081
2012-03-31,1.06,2012,1,600081
2012-06-30,1.01,2012,2,600081
2012-09-30,1.02,2012,3,600081
2012-12-31,1.04,2012,4,600081
2013-03-31,1.09,2013,1,600081
2013-06-30,0.97,2013,2,600081
2013-09-30,1.05,2013,3,600081
2013-12-31,0.99,2013,4,600081
2014-03-31,1.01,2014,1,600081
2014-06-30,0.96,2014,2,600081
2014-09-30,0.98,2014,3,600081
2014-12-31,0.94,2014,4,600081
2015-03-31,0.97,2015,1,600081
2015-06-30,0.94,2015,2,600081
2015-09-30,0.96,2015,3,600081
2015-12-31,0.93,2015,4,600081
2016-03-31,0.94,2016,1,600081
2016-06-30,0.93,2016,2,600081
2016-09-30,0.93,2016,3,600081
2016-12-31,0.96,2016,4,600081
2017-03-31,0.96,2017,1,600081
2017-06-30,0.95,2017,2,600081
2017-09-30,0.98,2017,3,600081
2017-12-31,0.98,2017,4,600081
2018-03-31,1.00,2018,1,600081
2018-06-30,1.01,2018,2,600081
2018-09-30,1.02,2018,3,600081
2018-12-31,0.98,2018,4,600081
2019-03-31,1.00,2019,1,600081
2019-06-30,1.02,2019,2,600081
2019-09-30,1.03,2019,3,600081
2019-12-31,1.04,2019,4,600081
2020-03-31,1.03,2020,1,600081
2020-06-30,1.08,2020,2,600081
2020-09-30,1.06,2020,3,600081
2020-12-31,1.07,2020,4,600081
2021-03-31,1.09,2021,1,600081
2021-06-30,1.09,2021,2,600081
2021-09-30,1.14,2021,3,600081
2021-12-31,1.13,2021,4,600081
2022-03-31,1.15,2022,1,600081
2022-06-30,1.21,2022,2,600081
2022-09-30,1.20,2022,3,600081
2022-12-31,1.26,2022,4,600081
2023-03-31,1.27,2023,1,600081
2023-06-30,1.26,2023,2,600081
2023-09-30,1.54,2023,3,600081
2023-12-31,1.47,2023,4,600081
2024-03-31,1.53,2024,1,600081
2024-06-30,1.57,2024,2,600081
2024-09-30,1.58,2024,3,600081
2024-12-31,1.54,2024,4,600081
2025-03-31,1.61,2025,1,600081
2025-06-30,1.61,2025,2,600081
2025-09-30,1.57,2025,3,600081
2025-12-31,1.57,2025,4,600081
2026-03-31,1.65,2026,1,600081
