report_date,current_ratio_th,year,quarter,code
1993-12-31,2.08,1993,4,000655
1994-12-31,1.51,1994,4,000655
1995-12-31,1.26,1995,4,000655
1996-12-31,1.28,1996,4,000655
1997-06-30,1.40,1997,2,000655
1997-12-31,1.74,1997,4,000655
1998-06-30,1.79,1998,2,000655
1998-12-31,1.42,1998,4,000655
1999-06-30,1.49,1999,2,000655
1999-12-31,1.37,1999,4,000655
2000-06-30,1.61,2000,2,000655
2000-12-31,1.25,2000,4,000655
2001-06-30,1.50,2001,2,000655
2001-12-31,1.32,2001,4,000655
2002-03-31,1.38,2002,1,000655
2002-06-30,1.45,2002,2,000655
2002-09-30,1.43,2002,3,000655
2002-12-31,1.50,2002,4,000655
2003-03-31,1.50,2003,1,000655
2003-06-30,1.46,2003,2,000655
2003-09-30,1.45,2003,3,000655
2003-12-31,1.27,2003,4,000655
2004-03-31,1.24,2004,1,000655
2004-06-30,1.24,2004,2,000655
2004-09-30,1.28,2004,3,000655
2004-12-31,1.12,2004,4,000655
2005-03-31,1.05,2005,1,000655
2005-06-30,1.02,2005,2,000655
2005-09-30,0.98,2005,3,000655
2005-12-31,0.92,2005,4,000655
2006-03-31,0.90,2006,1,000655
2006-06-30,0.88,2006,2,000655
2006-09-30,0.39,2006,3,000655
2006-12-31,1.09,2006,4,000655
2007-03-31,1.32,2007,1,000655
2007-06-30,1.44,2007,2,000655
2007-09-30,1.60,2007,3,000655
2007-12-31,2.15,2007,4,000655
2008-03-31,2.60,2008,1,000655
2008-06-30,3.01,2008,2,000655
2008-09-30,3.46,2008,3,000655
2008-12-31,6.16,2008,4,000655
2009-03-31,7.46,2009,1,000655
2009-06-30,4.53,2009,2,000655
2009-09-30,6.87,2009,3,000655
2009-12-31,4.78,2009,4,000655
2010-03-31,4.84,2010,1,000655
2010-06-30,4.50,2010,2,000655
2010-09-30,5.03,2010,3,000655
2010-12-31,5.36,2010,4,000655
2011-03-31,5.54,2011,1,000655
2011-06-30,4.92,2011,2,000655
2011-09-30,5.85,2011,3,000655
2011-12-31,6.19,2011,4,000655
2012-03-31,3.03,2012,1,000655
2012-06-30,1.67,2012,2,000655
2012-09-30,2.07,2012,3,000655
2012-12-31,2.51,2012,4,000655
2013-03-31,3.01,2013,1,000655
2013-06-30,2.71,2013,2,000655
2013-09-30,2.78,2013,3,000655
2013-12-31,2.47,2013,4,000655
2014-03-31,2.44,2014,1,000655
2014-06-30,2.31,2014,2,000655
2014-09-30,2.23,2014,3,000655
2014-12-31,2.95,2014,4,000655
2015-03-31,3.35,2015,1,000655
2015-06-30,3.19,2015,2,000655
2015-09-30,2.54,2015,3,000655
2015-12-31,4.16,2015,4,000655
2016-03-31,3.05,2016,1,000655
2016-06-30,2.72,2016,2,000655
2016-09-30,2.61,2016,3,000655
2016-12-31,2.44,2016,4,000655
2017-03-31,3.32,2017,1,000655
2017-06-30,2.81,2017,2,000655
2017-09-30,3.09,2017,3,000655
2017-12-31,3.32,2017,4,000655
2018-03-31,3.47,2018,1,000655
2018-06-30,4.43,2018,2,000655
2018-09-30,3.74,2018,3,000655
2018-12-31,4.04,2018,4,000655
2019-03-31,6.35,2019,1,000655
2019-06-30,5.25,2019,2,000655
2019-09-30,5.42,2019,3,000655
2019-12-31,4.99,2019,4,000655
2020-03-31,6.05,2020,1,000655
2020-06-30,5.94,2020,2,000655
2020-09-30,5.42,2020,3,000655
2020-12-31,6.38,2020,4,000655
2021-03-31,6.00,2021,1,000655
2021-06-30,5.64,2021,2,000655
2021-09-30,7.17,2021,3,000655
2021-12-31,7.93,2021,4,000655
2022-03-31,7.46,2022,1,000655
2022-06-30,6.92,2022,2,000655
2022-09-30,8.05,2022,3,000655
2022-12-31,9.88,2022,4,000655
2023-03-31,9.25,2023,1,000655
2023-06-30,10.02,2023,2,000655
2023-09-30,7.89,2023,3,000655
2023-12-31,9.26,2023,4,000655
2024-03-31,9.29,2024,1,000655
2024-06-30,8.98,2024,2,000655
2024-09-30,9.42,2024,3,000655
2024-12-31,7.44,2024,4,000655
2025-03-31,8.40,2025,1,000655
2025-06-30,5.79,2025,2,000655
2025-09-30,7.12,2025,3,000655
2025-12-31,1.94,2025,4,000655
2026-03-31,3.01,2026,1,000655
