report_date,current_ratio_th,year,quarter,code
2019-12-31,3.22,2019,4,688653
2020-12-31,3.33,2020,4,688653
2021-12-31,15.03,2021,4,688653
2022-03-31,False,2022,1,688653
2022-06-30,12.82,2022,2,688653
2022-09-30,False,2022,3,688653
2022-12-31,10.41,2022,4,688653
2023-03-31,False,2023,1,688653
2023-06-30,12.26,2023,2,688653
2023-09-30,13.62,2023,3,688653
2023-12-31,17.92,2023,4,688653
2024-03-31,28.42,2024,1,688653
2024-06-30,16.13,2024,2,688653
2024-09-30,15.83,2024,3,688653
2024-12-31,11.71,2024,4,688653
2025-03-31,10.11,2025,1,688653
2025-06-30,7.06,2025,2,688653
2025-09-30,6.52,2025,3,688653
2025-12-31,7.57,2025,4,688653
2026-03-31,13.11,2026,1,688653
