report_date,current_ratio_th,year,quarter,code
2008-12-31,1.58,2008,4,002646
2009-12-31,2.64,2009,4,002646
2010-09-30,False,2010,3,002646
2010-12-31,2.46,2010,4,002646
2011-03-31,False,2011,1,002646
2011-06-30,3.85,2011,2,002646
2011-09-30,3.40,2011,3,002646
2011-12-31,8.03,2011,4,002646
2012-03-31,8.81,2012,1,002646
2012-06-30,9.47,2012,2,002646
2012-09-30,5.91,2012,3,002646
2012-12-31,4.83,2012,4,002646
2013-03-31,6.82,2013,1,002646
2013-06-30,8.05,2013,2,002646
2013-09-30,8.16,2013,3,002646
2013-12-31,4.97,2013,4,002646
2014-03-31,7.07,2014,1,002646
2014-06-30,3.04,2014,2,002646
2014-09-30,3.77,2014,3,002646
2014-12-31,5.98,2014,4,002646
2015-03-31,4.53,2015,1,002646
2015-06-30,2.92,2015,2,002646
2015-09-30,3.40,2015,3,002646
2015-12-31,3.82,2015,4,002646
2016-03-31,3.95,2016,1,002646
2016-06-30,2.90,2016,2,002646
2016-09-30,3.17,2016,3,002646
2016-12-31,2.44,2016,4,002646
2017-03-31,3.62,2017,1,002646
2017-06-30,4.71,2017,2,002646
2017-09-30,4.44,2017,3,002646
2017-12-31,3.67,2017,4,002646
2018-03-31,3.62,2018,1,002646
2018-06-30,3.72,2018,2,002646
2018-09-30,3.82,2018,3,002646
2018-12-31,2.85,2018,4,002646
2019-03-31,4.65,2019,1,002646
2019-06-30,3.64,2019,2,002646
2019-09-30,3.50,2019,3,002646
2019-12-31,3.25,2019,4,002646
2020-03-31,4.13,2020,1,002646
2020-06-30,4.21,2020,2,002646
2020-09-30,3.98,2020,3,002646
2020-12-31,3.05,2020,4,002646
2021-03-31,3.41,2021,1,002646
2021-06-30,3.49,2021,2,002646
2021-09-30,5.76,2021,3,002646
2021-12-31,3.81,2021,4,002646
2022-03-31,5.31,2022,1,002646
2022-06-30,5.50,2022,2,002646
2022-09-30,5.25,2022,3,002646
2022-12-31,4.40,2022,4,002646
2023-03-31,5.05,2023,1,002646
2023-06-30,4.61,2023,2,002646
2023-09-30,4.30,2023,3,002646
2023-12-31,3.98,2023,4,002646
2024-03-31,4.15,2024,1,002646
2024-06-30,4.27,2024,2,002646
2024-09-30,4.20,2024,3,002646
2024-12-31,3.74,2024,4,002646
2025-03-31,4.31,2025,1,002646
2025-06-30,4.37,2025,2,002646
2025-09-30,4.55,2025,3,002646
2025-12-31,5.30,2025,4,002646
2026-03-31,6.34,2026,1,002646
