report_date,current_ratio_th,year,quarter,code
2011-12-31,0.98,2011,4,603538
2012-12-31,0.95,2012,4,603538
2013-12-31,0.90,2013,4,603538
2014-06-30,1.48,2014,2,603538
2014-12-31,1.38,2014,4,603538
2015-12-31,1.78,2015,4,603538
2016-03-31,False,2016,1,603538
2016-06-30,False,2016,2,603538
2016-09-30,False,2016,3,603538
2016-12-31,1.62,2016,4,603538
2017-03-31,3.45,2017,1,603538
2017-06-30,2.87,2017,2,603538
2017-09-30,2.64,2017,3,603538
2017-12-31,2.29,2017,4,603538
2018-03-31,1.79,2018,1,603538
2018-06-30,1.43,2018,2,603538
2018-09-30,1.35,2018,3,603538
2018-12-31,1.38,2018,4,603538
2019-03-31,1.42,2019,1,603538
2019-06-30,1.37,2019,2,603538
2019-09-30,1.43,2019,3,603538
2019-12-31,1.30,2019,4,603538
2020-03-31,1.25,2020,1,603538
2020-06-30,1.28,2020,2,603538
2020-09-30,1.29,2020,3,603538
2020-12-31,1.02,2020,4,603538
2021-03-31,1.60,2021,1,603538
2021-06-30,1.66,2021,2,603538
2021-09-30,1.69,2021,3,603538
2021-12-31,1.48,2021,4,603538
2022-03-31,1.64,2022,1,603538
2022-06-30,1.38,2022,2,603538
2022-09-30,1.32,2022,3,603538
2022-12-31,1.39,2022,4,603538
2023-03-31,1.45,2023,1,603538
2023-06-30,1.44,2023,2,603538
2023-09-30,1.39,2023,3,603538
2023-12-31,1.28,2023,4,603538
2024-03-31,1.30,2024,1,603538
2024-06-30,1.24,2024,2,603538
2024-09-30,1.22,2024,3,603538
2024-12-31,1.24,2024,4,603538
2025-03-31,1.21,2025,1,603538
2025-06-30,1.27,2025,2,603538
2025-09-30,1.28,2025,3,603538
2025-12-31,1.44,2025,4,603538
2026-03-31,1.45,2026,1,603538
