report_date,current_ratio_th,year,quarter,code
2017-12-31,1.10,2017,4,688220
2018-12-31,2.43,2018,4,688220
2019-12-31,1.58,2019,4,688220
2020-03-31,False,2020,1,688220
2020-06-30,False,2020,2,688220
2020-09-30,5.01,2020,3,688220
2020-12-31,3.60,2020,4,688220
2021-03-31,False,2021,1,688220
2021-06-30,2.52,2021,2,688220
2021-09-30,1.90,2021,3,688220
2021-12-31,1.60,2021,4,688220
2022-03-31,8.56,2022,1,688220
2022-06-30,11.63,2022,2,688220
2022-09-30,10.74,2022,3,688220
2022-12-31,11.32,2022,4,688220
2023-03-31,10.07,2023,1,688220
2023-06-30,10.75,2023,2,688220
2023-09-30,8.04,2023,3,688220
2023-12-31,8.02,2023,4,688220
2024-03-31,7.91,2024,1,688220
2024-06-30,7.41,2024,2,688220
2024-09-30,7.29,2024,3,688220
2024-12-31,7.43,2024,4,688220
2025-03-31,7.29,2025,1,688220
2025-06-30,5.79,2025,2,688220
2025-09-30,4.61,2025,3,688220
2025-12-31,4.32,2025,4,688220
2026-03-31,3.78,2026,1,688220
