report_date,current_ratio_th,year,quarter,code
2018-12-31,28.58,2018,4,688428
2019-12-31,37.04,2019,4,688428
2020-12-31,42.02,2020,4,688428
2021-03-31,38.31,2021,1,688428
2021-06-30,False,2021,2,688428
2021-09-30,False,2021,3,688428
2021-12-31,20.27,2021,4,688428
2022-03-31,False,2022,1,688428
2022-06-30,21.87,2022,2,688428
2022-09-30,11.42,2022,3,688428
2022-12-31,4.50,2022,4,688428
2023-03-31,4.51,2023,1,688428
2023-06-30,4.42,2023,2,688428
2023-09-30,4.42,2023,3,688428
2023-12-31,4.21,2023,4,688428
2024-03-31,4.19,2024,1,688428
2024-06-30,3.84,2024,2,688428
2024-09-30,7.74,2024,3,688428
2024-12-31,7.45,2024,4,688428
2025-03-31,7.84,2025,1,688428
2025-06-30,7.66,2025,2,688428
2025-09-30,6.54,2025,3,688428
2025-12-31,5.83,2025,4,688428
2026-03-31,5.65,2026,1,688428
