report_date,current_ratio_th,year,quarter,code
2009-12-31,0.98,2009,4,002725
2010-12-31,1.29,2010,4,002725
2011-12-31,1.29,2011,4,002725
2012-09-30,False,2012,3,002725
2012-12-31,1.70,2012,4,002725
2013-03-31,False,2013,1,002725
2013-06-30,1.64,2013,2,002725
2013-09-30,False,2013,3,002725
2013-12-31,1.75,2013,4,002725
2014-03-31,3.72,2014,1,002725
2014-06-30,3.14,2014,2,002725
2014-09-30,3.83,2014,3,002725
2014-12-31,3.08,2014,4,002725
2015-03-31,4.23,2015,1,002725
2015-06-30,4.10,2015,2,002725
2015-09-30,4.27,2015,3,002725
2015-12-31,3.89,2015,4,002725
2016-03-31,4.98,2016,1,002725
2016-06-30,5.07,2016,2,002725
2016-09-30,4.78,2016,3,002725
2016-12-31,3.91,2016,4,002725
2017-03-31,3.84,2017,1,002725
2017-06-30,3.80,2017,2,002725
2017-09-30,2.67,2017,3,002725
2017-12-31,2.48,2017,4,002725
2018-03-31,2.56,2018,1,002725
2018-06-30,2.17,2018,2,002725
2018-09-30,2.19,2018,3,002725
2018-12-31,2.13,2018,4,002725
2019-03-31,2.59,2019,1,002725
2019-06-30,2.34,2019,2,002725
2019-09-30,2.45,2019,3,002725
2019-12-31,2.39,2019,4,002725
2020-03-31,2.19,2020,1,002725
2020-06-30,1.49,2020,2,002725
2020-09-30,1.42,2020,3,002725
2020-12-31,1.66,2020,4,002725
2021-03-31,1.66,2021,1,002725
2021-06-30,1.66,2021,2,002725
2021-09-30,1.62,2021,3,002725
2021-12-31,1.67,2021,4,002725
2022-03-31,1.75,2022,1,002725
2022-06-30,1.78,2022,2,002725
2022-09-30,1.67,2022,3,002725
2022-12-31,1.77,2022,4,002725
2023-03-31,1.66,2023,1,002725
2023-06-30,1.44,2023,2,002725
2023-09-30,1.60,2023,3,002725
2023-12-31,1.68,2023,4,002725
2024-03-31,1.78,2024,1,002725
2024-06-30,1.83,2024,2,002725
2024-09-30,1.71,2024,3,002725
2024-12-31,1.84,2024,4,002725
2025-03-31,2.01,2025,1,002725
2025-06-30,2.27,2025,2,002725
2025-09-30,2.33,2025,3,002725
2025-12-31,2.59,2025,4,002725
2026-03-31,2.16,2026,1,002725
