report_date,current_ratio_th,year,quarter,code
1996-12-31,0.89,1996,4,000958
1997-12-31,0.84,1997,4,000958
1998-12-31,0.79,1998,4,000958
1999-06-30,0.89,1999,2,000958
1999-12-31,1.03,1999,4,000958
2000-06-30,1.13,2000,2,000958
2000-12-31,0.77,2000,4,000958
2001-06-30,0.89,2001,2,000958
2001-09-30,False,2001,3,000958
2001-12-31,1.10,2001,4,000958
2002-03-31,0.97,2002,1,000958
2002-06-30,3.62,2002,2,000958
2002-09-30,4.30,2002,3,000958
2002-12-31,1.75,2002,4,000958
2003-03-31,1.14,2003,1,000958
2003-06-30,1.36,2003,2,000958
2003-09-30,1.78,2003,3,000958
2003-12-31,1.15,2003,4,000958
2004-03-31,1.23,2004,1,000958
2004-06-30,1.31,2004,2,000958
2004-09-30,1.19,2004,3,000958
2004-12-31,1.24,2004,4,000958
2005-03-31,1.22,2005,1,000958
2005-06-30,1.13,2005,2,000958
2005-09-30,1.00,2005,3,000958
2005-12-31,1.09,2005,4,000958
2006-03-31,1.04,2006,1,000958
2006-06-30,1.05,2006,2,000958
2006-09-30,0.39,2006,3,000958
2006-12-31,0.56,2006,4,000958
2007-03-31,0.61,2007,1,000958
2007-06-30,0.49,2007,2,000958
2007-09-30,0.51,2007,3,000958
2007-12-31,0.55,2007,4,000958
2008-03-31,0.45,2008,1,000958
2008-06-30,0.34,2008,2,000958
2008-09-30,0.28,2008,3,000958
2008-12-31,0.39,2008,4,000958
2009-03-31,0.34,2009,1,000958
2009-06-30,0.37,2009,2,000958
2009-09-30,0.37,2009,3,000958
2009-12-31,0.43,2009,4,000958
2010-03-31,0.36,2010,1,000958
2010-06-30,0.33,2010,2,000958
2010-09-30,0.35,2010,3,000958
2010-12-31,0.26,2010,4,000958
2011-03-31,0.23,2011,1,000958
2011-06-30,0.17,2011,2,000958
2011-09-30,0.19,2011,3,000958
2011-12-31,0.21,2011,4,000958
2012-03-31,0.17,2012,1,000958
2012-06-30,0.13,2012,2,000958
2012-09-30,0.16,2012,3,000958
2012-12-31,0.18,2012,4,000958
2013-03-31,0.15,2013,1,000958
2013-06-30,0.12,2013,2,000958
2013-09-30,0.09,2013,3,000958
2013-12-31,0.74,2013,4,000958
2014-03-31,0.42,2014,1,000958
2014-06-30,0.42,2014,2,000958
2014-09-30,0.32,2014,3,000958
2014-12-31,0.29,2014,4,000958
2015-03-31,0.30,2015,1,000958
2015-06-30,0.30,2015,2,000958
2015-09-30,0.32,2015,3,000958
2015-12-31,0.80,2015,4,000958
2016-03-31,0.87,2016,1,000958
2016-06-30,0.90,2016,2,000958
2016-09-30,0.94,2016,3,000958
2016-12-31,0.78,2016,4,000958
2017-03-31,0.94,2017,1,000958
2017-06-30,0.97,2017,2,000958
2017-09-30,0.92,2017,3,000958
2017-12-31,0.47,2017,4,000958
2018-03-31,0.55,2018,1,000958
2018-06-30,0.55,2018,2,000958
2018-09-30,0.70,2018,3,000958
2018-12-31,0.66,2018,4,000958
2019-03-31,0.72,2019,1,000958
2019-06-30,0.74,2019,2,000958
2019-09-30,1.00,2019,3,000958
2019-12-31,1.12,2019,4,000958
2020-03-31,1.14,2020,1,000958
2020-06-30,1.05,2020,2,000958
2020-09-30,1.08,2020,3,000958
2020-12-31,1.15,2020,4,000958
2021-03-31,1.10,2021,1,000958
2021-06-30,2.61,2021,2,000958
2021-09-30,2.63,2021,3,000958
2021-12-31,2.08,2021,4,000958
2022-03-31,2.00,2022,1,000958
2022-06-30,2.80,2022,2,000958
2022-09-30,3.32,2022,3,000958
2022-12-31,3.23,2022,4,000958
2023-03-31,3.34,2023,1,000958
2023-06-30,3.21,2023,2,000958
2023-09-30,3.19,2023,3,000958
2023-12-31,3.69,2023,4,000958
2024-03-31,3.77,2024,1,000958
2024-06-30,3.67,2024,2,000958
2024-09-30,3.64,2024,3,000958
2024-12-31,2.68,2024,4,000958
2025-03-31,2.75,2025,1,000958
2025-06-30,3.00,2025,2,000958
2025-09-30,3.44,2025,3,000958
2025-12-31,0.82,2025,4,000958
2026-03-31,0.91,2026,1,000958
