report_date,current_ratio_th,year,quarter,code
2015-12-31,0.55,2015,4,605580
2016-06-30,False,2016,2,605580
2016-12-31,0.71,2016,4,605580
2017-06-30,0.74,2017,2,605580
2017-12-31,1.00,2017,4,605580
2018-06-30,0.46,2018,2,605580
2018-12-31,0.49,2018,4,605580
2019-06-30,0.45,2019,2,605580
2019-12-31,0.50,2019,4,605580
2020-03-31,False,2020,1,605580
2020-06-30,0.52,2020,2,605580
2020-09-30,False,2020,3,605580
2020-12-31,0.62,2020,4,605580
2021-03-31,0.75,2021,1,605580
2021-06-30,0.84,2021,2,605580
2021-09-30,4.35,2021,3,605580
2021-12-31,2.94,2021,4,605580
2022-03-31,4.55,2022,1,605580
2022-06-30,3.02,2022,2,605580
2022-09-30,4.65,2022,3,605580
2022-12-31,2.96,2022,4,605580
2023-03-31,3.30,2023,1,605580
2023-06-30,2.55,2023,2,605580
2023-09-30,1.66,2023,3,605580
2023-12-31,1.60,2023,4,605580
2024-03-31,1.21,2024,1,605580
2024-06-30,1.11,2024,2,605580
2024-09-30,1.22,2024,3,605580
2024-12-31,1.26,2024,4,605580
2025-03-31,0.73,2025,1,605580
2025-06-30,0.71,2025,2,605580
2025-09-30,0.73,2025,3,605580
2025-12-31,0.74,2025,4,605580
2026-03-31,0.84,2026,1,605580
