report_date,current_ratio_th,year,quarter,code
2011-12-31,1.29,2011,4,603239
2012-12-31,1.54,2012,4,603239
2013-12-31,1.22,2013,4,603239
2014-12-31,1.37,2014,4,603239
2015-09-30,False,2015,3,603239
2015-12-31,1.34,2015,4,603239
2016-03-31,False,2016,1,603239
2016-06-30,1.41,2016,2,603239
2016-09-30,1.50,2016,3,603239
2016-12-31,3.63,2016,4,603239
2017-03-31,6.00,2017,1,603239
2017-06-30,5.62,2017,2,603239
2017-09-30,5.30,2017,3,603239
2017-12-31,4.09,2017,4,603239
2018-03-31,4.43,2018,1,603239
2018-06-30,4.05,2018,2,603239
2018-09-30,4.54,2018,3,603239
2018-12-31,4.31,2018,4,603239
2019-03-31,4.97,2019,1,603239
2019-06-30,5.19,2019,2,603239
2019-09-30,4.41,2019,3,603239
2019-12-31,3.96,2019,4,603239
2020-03-31,5.33,2020,1,603239
2020-06-30,4.36,2020,2,603239
2020-09-30,4.17,2020,3,603239
2020-12-31,3.66,2020,4,603239
2021-03-31,4.18,2021,1,603239
2021-06-30,2.71,2021,2,603239
2021-09-30,3.65,2021,3,603239
2021-12-31,2.40,2021,4,603239
2022-03-31,2.46,2022,1,603239
2022-06-30,2.27,2022,2,603239
2022-09-30,2.61,2022,3,603239
2022-12-31,3.09,2022,4,603239
2023-03-31,3.46,2023,1,603239
2023-06-30,3.00,2023,2,603239
2023-09-30,2.79,2023,3,603239
2023-12-31,2.65,2023,4,603239
2024-03-31,2.97,2024,1,603239
2024-06-30,2.84,2024,2,603239
2024-09-30,3.16,2024,3,603239
2024-12-31,2.89,2024,4,603239
2025-03-31,3.28,2025,1,603239
2025-06-30,3.09,2025,2,603239
2025-09-30,2.77,2025,3,603239
2025-12-31,2.68,2025,4,603239
2026-03-31,3.50,2026,1,603239
