report_date,current_ratio_th,year,quarter,code
1995-12-31,0.82,1995,4,600167
1996-12-31,1.40,1996,4,600167
1997-12-31,1.23,1997,4,600167
1998-12-31,1.27,1998,4,600167
1999-06-30,3.41,1999,2,600167
1999-12-31,2.81,1999,4,600167
2000-06-30,2.97,2000,2,600167
2000-12-31,2.36,2000,4,600167
2001-06-30,2.00,2001,2,600167
2001-09-30,2.05,2001,3,600167
2001-12-31,1.24,2001,4,600167
2002-03-31,1.29,2002,1,600167
2002-06-30,1.23,2002,2,600167
2002-09-30,1.27,2002,3,600167
2002-12-31,1.50,2002,4,600167
2003-03-31,1.67,2003,1,600167
2003-06-30,1.11,2003,2,600167
2003-09-30,0.92,2003,3,600167
2003-12-31,0.88,2003,4,600167
2004-03-31,0.87,2004,1,600167
2004-06-30,0.79,2004,2,600167
2004-09-30,0.70,2004,3,600167
2004-12-31,0.66,2004,4,600167
2005-03-31,0.55,2005,1,600167
2005-06-30,0.57,2005,2,600167
2005-09-30,0.56,2005,3,600167
2005-12-31,0.52,2005,4,600167
2006-03-31,0.46,2006,1,600167
2006-06-30,0.48,2006,2,600167
2006-09-30,0.52,2006,3,600167
2006-12-31,0.50,2006,4,600167
2007-03-31,0.48,2007,1,600167
2007-06-30,0.51,2007,2,600167
2007-09-30,0.67,2007,3,600167
2007-12-31,0.51,2007,4,600167
2008-03-31,0.46,2008,1,600167
2008-06-30,0.40,2008,2,600167
2008-09-30,0.46,2008,3,600167
2008-12-31,0.55,2008,4,600167
2009-03-31,0.53,2009,1,600167
2009-06-30,0.52,2009,2,600167
2009-09-30,0.61,2009,3,600167
2009-12-31,0.68,2009,4,600167
2010-03-31,0.70,2010,1,600167
2010-06-30,0.67,2010,2,600167
2010-09-30,0.70,2010,3,600167
2010-12-31,0.74,2010,4,600167
2011-03-31,0.79,2011,1,600167
2011-06-30,0.75,2011,2,600167
2011-09-30,0.73,2011,3,600167
2011-12-31,0.74,2011,4,600167
2012-03-31,0.78,2012,1,600167
2012-06-30,0.75,2012,2,600167
2012-09-30,0.70,2012,3,600167
2012-12-31,0.56,2012,4,600167
2013-03-31,0.58,2013,1,600167
2013-06-30,0.58,2013,2,600167
2013-09-30,0.61,2013,3,600167
2013-12-31,0.68,2013,4,600167
2014-03-31,0.72,2014,1,600167
2014-06-30,0.71,2014,2,600167
2014-09-30,0.71,2014,3,600167
2014-12-31,1.63,2014,4,600167
2015-03-31,2.07,2015,1,600167
2015-06-30,0.52,2015,2,600167
2015-09-30,0.54,2015,3,600167
2015-12-31,1.62,2015,4,600167
2016-03-31,1.98,2016,1,600167
2016-06-30,1.34,2016,2,600167
2016-09-30,1.24,2016,3,600167
2016-12-31,1.66,2016,4,600167
2017-03-31,2.60,2017,1,600167
2017-06-30,8.26,2017,2,600167
2017-09-30,6.47,2017,3,600167
2017-12-31,4.10,2017,4,600167
2018-03-31,7.77,2018,1,600167
2018-06-30,8.52,2018,2,600167
2018-09-30,6.32,2018,3,600167
2018-12-31,2.05,2018,4,600167
2019-03-31,3.24,2019,1,600167
2019-06-30,3.02,2019,2,600167
2019-09-30,2.82,2019,3,600167
2019-12-31,2.70,2019,4,600167
2020-03-31,4.58,2020,1,600167
2020-06-30,3.20,2020,2,600167
2020-09-30,3.09,2020,3,600167
2020-12-31,2.44,2020,4,600167
2021-03-31,3.44,2021,1,600167
2021-06-30,2.37,2021,2,600167
2021-09-30,2.68,2021,3,600167
2021-12-31,2.22,2021,4,600167
2022-03-31,3.50,2022,1,600167
2022-06-30,3.46,2022,2,600167
2022-09-30,3.41,2022,3,600167
2022-12-31,2.52,2022,4,600167
2023-03-31,2.92,2023,1,600167
2023-06-30,2.59,2023,2,600167
2023-09-30,2.70,2023,3,600167
2023-12-31,2.44,2023,4,600167
2024-03-31,2.78,2024,1,600167
2024-06-30,2.46,2024,2,600167
2024-09-30,2.76,2024,3,600167
2024-12-31,2.34,2024,4,600167
2025-03-31,2.79,2025,1,600167
2025-06-30,2.61,2025,2,600167
2025-09-30,2.69,2025,3,600167
2025-12-31,2.45,2025,4,600167
2026-03-31,3.62,2026,1,600167
