report_date,current_ratio_th,year,quarter,code
1997-12-31,1.10,1997,4,000995
1998-12-31,1.32,1998,4,000995
1999-12-31,1.44,1999,4,000995
2000-06-30,1.62,2000,2,000995
2000-12-31,3.02,2000,4,000995
2001-06-30,2.54,2001,2,000995
2001-12-31,1.87,2001,4,000995
2002-03-31,1.91,2002,1,000995
2002-06-30,1.69,2002,2,000995
2002-09-30,1.64,2002,3,000995
2002-12-31,1.46,2002,4,000995
2003-03-31,1.56,2003,1,000995
2003-06-30,1.47,2003,2,000995
2003-09-30,1.33,2003,3,000995
2003-12-31,1.00,2003,4,000995
2004-03-31,1.02,2004,1,000995
2004-06-30,1.04,2004,2,000995
2004-09-30,1.05,2004,3,000995
2004-12-31,1.10,2004,4,000995
2005-03-31,1.14,2005,1,000995
2005-06-30,1.11,2005,2,000995
2005-09-30,1.13,2005,3,000995
2005-12-31,1.14,2005,4,000995
2006-03-31,1.17,2006,1,000995
2006-06-30,1.19,2006,2,000995
2006-09-30,1.20,2006,3,000995
2006-12-31,1.17,2006,4,000995
2007-03-31,1.20,2007,1,000995
2007-06-30,1.16,2007,2,000995
2007-09-30,1.14,2007,3,000995
2007-12-31,0.98,2007,4,000995
2008-03-31,1.00,2008,1,000995
2008-06-30,0.96,2008,2,000995
2008-09-30,0.96,2008,3,000995
2008-12-31,0.69,2008,4,000995
2009-03-31,0.77,2009,1,000995
2009-06-30,0.71,2009,2,000995
2009-09-30,0.68,2009,3,000995
2009-12-31,0.65,2009,4,000995
2010-03-31,0.69,2010,1,000995
2010-06-30,0.61,2010,2,000995
2010-09-30,0.61,2010,3,000995
2010-12-31,0.53,2010,4,000995
2011-03-31,0.58,2011,1,000995
2011-06-30,0.54,2011,2,000995
2011-09-30,0.55,2011,3,000995
2011-12-31,0.67,2011,4,000995
2012-03-31,0.64,2012,1,000995
2012-06-30,0.73,2012,2,000995
2012-09-30,0.76,2012,3,000995
2012-12-31,0.70,2012,4,000995
2013-03-31,0.74,2013,1,000995
2013-06-30,0.76,2013,2,000995
2013-09-30,0.78,2013,3,000995
2013-12-31,0.76,2013,4,000995
2014-03-31,0.79,2014,1,000995
2014-06-30,0.79,2014,2,000995
2014-09-30,0.74,2014,3,000995
2014-12-31,0.70,2014,4,000995
2015-03-31,0.69,2015,1,000995
2015-06-30,0.70,2015,2,000995
2015-09-30,0.76,2015,3,000995
2015-12-31,0.81,2015,4,000995
2016-03-31,0.80,2016,1,000995
2016-06-30,0.78,2016,2,000995
2016-09-30,0.75,2016,3,000995
2016-12-31,0.52,2016,4,000995
2017-03-31,0.60,2017,1,000995
2017-06-30,0.56,2017,2,000995
2017-09-30,0.56,2017,3,000995
2017-12-31,0.36,2017,4,000995
2018-03-31,0.25,2018,1,000995
2018-06-30,0.24,2018,2,000995
2018-09-30,0.24,2018,3,000995
2018-12-31,0.19,2018,4,000995
2019-03-31,0.18,2019,1,000995
2019-06-30,0.20,2019,2,000995
2019-09-30,0.24,2019,3,000995
2019-12-31,0.48,2019,4,000995
2020-03-31,0.46,2020,1,000995
2020-06-30,0.52,2020,2,000995
2020-09-30,0.66,2020,3,000995
2020-12-31,0.71,2020,4,000995
2021-03-31,0.69,2021,1,000995
2021-06-30,0.70,2021,2,000995
2021-09-30,0.71,2021,3,000995
2021-12-31,0.62,2021,4,000995
2022-03-31,0.64,2022,1,000995
2022-06-30,0.66,2022,2,000995
2022-09-30,0.65,2022,3,000995
2022-12-31,0.79,2022,4,000995
2023-03-31,0.81,2023,1,000995
2023-06-30,0.82,2023,2,000995
2023-09-30,0.86,2023,3,000995
2023-12-31,0.81,2023,4,000995
2024-03-31,0.82,2024,1,000995
2024-06-30,0.82,2024,2,000995
2024-09-30,0.85,2024,3,000995
2024-12-31,0.74,2024,4,000995
2025-03-31,0.75,2025,1,000995
2025-06-30,0.74,2025,2,000995
2025-09-30,0.77,2025,3,000995
2025-12-31,0.97,2025,4,000995
2026-03-31,0.97,2026,1,000995
