report_date,current_ratio_th,year,quarter,code
2008-12-31,1.43,2008,4,603197
2009-12-31,1.33,2009,4,603197
2010-12-31,1.56,2010,4,603197
2012-12-31,1.28,2012,4,603197
2013-12-31,1.61,2013,4,603197
2014-12-31,1.28,2014,4,603197
2015-12-31,1.94,2015,4,603197
2016-03-31,False,2016,1,603197
2016-06-30,False,2016,2,603197
2016-09-30,False,2016,3,603197
2016-12-31,1.41,2016,4,603197
2017-03-31,1.39,2017,1,603197
2017-06-30,2.32,2017,2,603197
2017-09-30,2.47,2017,3,603197
2017-12-31,2.35,2017,4,603197
2018-03-31,2.24,2018,1,603197
2018-06-30,1.97,2018,2,603197
2018-09-30,1.94,2018,3,603197
2018-12-31,1.52,2018,4,603197
2019-03-31,1.46,2019,1,603197
2019-06-30,1.60,2019,2,603197
2019-09-30,1.64,2019,3,603197
2019-12-31,1.61,2019,4,603197
2020-03-31,1.64,2020,1,603197
2020-06-30,1.72,2020,2,603197
2020-09-30,1.61,2020,3,603197
2020-12-31,1.35,2020,4,603197
2021-03-31,1.33,2021,1,603197
2021-06-30,1.67,2021,2,603197
2021-09-30,1.68,2021,3,603197
2021-12-31,1.81,2021,4,603197
2022-03-31,1.90,2022,1,603197
2022-06-30,1.64,2022,2,603197
2022-09-30,1.50,2022,3,603197
2022-12-31,1.41,2022,4,603197
2023-03-31,1.55,2023,1,603197
2023-06-30,1.69,2023,2,603197
2023-09-30,1.70,2023,3,603197
2023-12-31,1.56,2023,4,603197
2024-03-31,1.65,2024,1,603197
2024-06-30,1.44,2024,2,603197
2024-09-30,1.36,2024,3,603197
2024-12-31,1.41,2024,4,603197
2025-03-31,1.39,2025,1,603197
2025-06-30,1.32,2025,2,603197
2025-09-30,1.20,2025,3,603197
2025-12-31,1.15,2025,4,603197
2026-03-31,1.12,2026,1,603197
