report_date,current_ratio_th,year,quarter,code
1994-12-31,1.56,1994,4,000799
1995-12-31,0.85,1995,4,000799
1996-12-31,1.22,1996,4,000799
1997-03-31,1.14,1997,1,000799
1997-06-30,1.39,1997,2,000799
1997-12-31,5.11,1997,4,000799
1998-06-30,4.54,1998,2,000799
1998-12-31,3.07,1998,4,000799
1999-06-30,3.14,1999,2,000799
1999-12-31,3.11,1999,4,000799
2000-06-30,4.52,2000,2,000799
2000-12-31,3.97,2000,4,000799
2001-06-30,3.91,2001,2,000799
2001-12-31,1.72,2001,4,000799
2002-03-31,1.90,2002,1,000799
2002-06-30,1.93,2002,2,000799
2002-09-30,1.76,2002,3,000799
2002-12-31,1.53,2002,4,000799
2003-03-31,1.56,2003,1,000799
2003-06-30,1.38,2003,2,000799
2003-09-30,1.42,2003,3,000799
2003-12-31,1.37,2003,4,000799
2004-03-31,1.46,2004,1,000799
2004-06-30,1.20,2004,2,000799
2004-09-30,1.22,2004,3,000799
2004-12-31,1.32,2004,4,000799
2005-03-31,1.34,2005,1,000799
2005-06-30,1.31,2005,2,000799
2005-09-30,1.17,2005,3,000799
2005-12-31,1.04,2005,4,000799
2006-03-31,1.07,2006,1,000799
2006-06-30,0.97,2006,2,000799
2006-09-30,0.95,2006,3,000799
2006-12-31,0.62,2006,4,000799
2007-03-31,0.63,2007,1,000799
2007-06-30,0.64,2007,2,000799
2007-09-30,0.90,2007,3,000799
2007-12-31,0.93,2007,4,000799
2008-03-31,0.93,2008,1,000799
2008-06-30,1.46,2008,2,000799
2008-09-30,1.40,2008,3,000799
2008-12-31,1.28,2008,4,000799
2009-03-31,1.32,2009,1,000799
2009-06-30,1.37,2009,2,000799
2009-09-30,1.39,2009,3,000799
2009-12-31,1.41,2009,4,000799
2010-03-31,1.43,2010,1,000799
2010-06-30,1.41,2010,2,000799
2010-09-30,1.44,2010,3,000799
2010-12-31,1.47,2010,4,000799
2011-03-31,1.59,2011,1,000799
2011-06-30,1.73,2011,2,000799
2011-09-30,1.77,2011,3,000799
2011-12-31,2.09,2011,4,000799
2012-03-31,2.20,2012,1,000799
2012-06-30,2.16,2012,2,000799
2012-09-30,2.35,2012,3,000799
2012-12-31,2.97,2012,4,000799
2013-03-31,3.85,2013,1,000799
2013-06-30,4.89,2013,2,000799
2013-09-30,5.15,2013,3,000799
2013-12-31,3.69,2013,4,000799
2014-03-31,4.51,2014,1,000799
2014-06-30,4.40,2014,2,000799
2014-09-30,4.02,2014,3,000799
2014-12-31,3.07,2014,4,000799
2015-03-31,3.01,2015,1,000799
2015-06-30,3.24,2015,2,000799
2015-09-30,3.03,2015,3,000799
2015-12-31,2.84,2015,4,000799
2016-03-31,3.00,2016,1,000799
2016-06-30,3.07,2016,2,000799
2016-09-30,3.52,2016,3,000799
2016-12-31,3.23,2016,4,000799
2017-03-31,3.62,2017,1,000799
2017-06-30,4.04,2017,2,000799
2017-09-30,4.05,2017,3,000799
2017-12-31,3.49,2017,4,000799
2018-03-31,3.50,2018,1,000799
2018-06-30,3.94,2018,2,000799
2018-09-30,4.23,2018,3,000799
2018-12-31,3.08,2018,4,000799
2019-03-31,3.25,2019,1,000799
2019-06-30,3.74,2019,2,000799
2019-09-30,3.51,2019,3,000799
2019-12-31,3.15,2019,4,000799
2020-03-31,3.84,2020,1,000799
2020-06-30,3.49,2020,2,000799
2020-09-30,3.10,2020,3,000799
2020-12-31,2.45,2020,4,000799
2021-03-31,2.70,2021,1,000799
2021-06-30,2.21,2021,2,000799
2021-09-30,2.69,2021,3,000799
2021-12-31,2.09,2021,4,000799
2022-03-31,2.60,2022,1,000799
2022-06-30,2.34,2022,2,000799
2022-09-30,2.93,2022,3,000799
2022-12-31,2.89,2022,4,000799
2023-03-31,3.09,2023,1,000799
2023-06-30,2.57,2023,2,000799
2023-09-30,3.48,2023,3,000799
2023-12-31,3.15,2023,4,000799
2024-03-31,3.47,2024,1,000799
2024-06-30,2.62,2024,2,000799
2024-09-30,3.31,2024,3,000799
2024-12-31,2.99,2024,4,000799
2025-03-31,3.11,2025,1,000799
2025-06-30,2.66,2025,2,000799
2025-09-30,3.11,2025,3,000799
2025-12-31,2.45,2025,4,000799
2026-03-31,2.68,2026,1,000799
