code,year,quarter,roe,gross_margin,net_margin,profit_yoy,asset_turnover,inventory_turnover,liability_to_asset,current_ratio,cfo_to_revenue,cfo_to_profit,interest_coverage,buy_price,pe,pb,ps
sh600231,2024,2,-0.072841,-0.038711,-0.051211,-4.238114,0.649261,6.337466,0.005375,0.534528,-0.037323,,-51.741198,,,,
sh600231,2024,3,-0.20313,-0.064863,-0.098193,-5.776847,0.874897,8.819985,0.006073,0.563829,-0.027662,,-56.975646,,,,
sh600231,2024,4,-0.257234,-0.059831,-0.092746,-1.464064,1.141243,10.723841,0.006311,0.574925,-0.054153,,-70.232595,,,,
sh600231,2025,1,-0.045844,-0.033422,-0.064913,0.211766,0.254862,2.815382,0.006471,0.542268,-0.034340,,-11.254915,,,,
sh600231,2025,2,-0.108409,-0.041803,-0.078367,-0.107626,0.486015,5.636723,0.006664,0.450392,0.014113,,-13.628270,,,,
sh600231,2025,3,-0.162479,-0.035366,-0.07175,0.381177,0.774294,8.516069,0.006853,0.435572,0.000002,,-13.000331,,,,
sh600231,2025,4,-0.322875,-0.059587,-0.099436,0.072209,1.020189,11.376142,0.007398,0.371722,-0.010384,,-17.362257,,,,
sh600282,2019,1,0.052746,0.143221,0.08254,-0.214449,0.278076,2.114171,0.521964,0.852863,0.137454,1.665314,12.734884,,,,
sh600282,2019,2,0.117274,0.154986,0.089484,-0.219887,0.573169,4.096522,0.515591,0.840561,0.054105,0.604628,20.588506,,,,
sh600282,2019,3,0.148948,0.138283,0.077288,-0.301849,0.853733,6.082532,0.523735,0.867423,0.058126,0.752063,15.174789,,,,
sh600282,2019,4,0.1621,0.132781,0.070144,-0.290248,1.131178,7.791911,0.497232,0.935478,0.090649,1.292327,17.670538,,,,
sh600282,2020,1,0.027155,0.116249,0.051227,-0.394259,0.253122,1.75041,0.522546,0.975525,0.010143,0.198009,31.472440,,,,
sh600282,2020,2,0.066842,0.126042,0.060333,-0.318408,0.544271,3.682995,0.513854,0.972537,0.068377,1.133339,11.892763,,,,
sh600282,2020,3,0.101373,0.121507,0.06126,-0.165776,0.84864,5.583665,0.510920,1.021507,0.046122,0.752891,16.571471,,,,
sh600282,2020,4,0.140515,0.109099,0.060003,-0.052692,1.160816,7.41032,0.495937,1.078964,0.048285,0.804707,18.733812,,,,
sh600282,2021,1,0.040527,0.1061,0.057748,0.656083,0.342739,2.023505,0.508068,1.106078,0.032020,0.554471,51.455907,,,,
sh600282,2021,2,0.093844,0.120899,0.058672,0.540562,0.776603,4.514748,0.514379,0.945158,0.065101,1.109578,20.283355,,,,
sh600282,2021,3,0.140521,0.118937,0.058846,0.46988,1.140593,6.781072,0.527006,0.926351,0.061237,1.040632,19.387864,,,,
sh600282,2021,4,0.163257,0.116832,0.054116,0.284743,1.433123,8.874592,0.529561,0.926055,0.059734,1.103811,30.640609,,,,
sh600282,2022,1,0.026712,0.117282,0.041348,-0.279544,0.288278,1.849701,0.536518,0.886425,0.026174,0.633025,13.210006,,,,
sh600282,2022,2,0.056999,0.117607,0.045013,-0.306381,0.55564,3.579547,0.553295,0.908544,0.054068,1.201169,10.847305,,,,
sh600282,2022,3,0.079289,0.1203,0.041491,-0.405116,0.813255,5.62765,0.571047,0.850956,0.047037,1.133680,8.323071,,,,
sh600282,2022,4,0.082407,0.107549,0.03288,-0.451569,1.067671,8.296121,0.588260,0.848502,0.053102,1.615003,9.178200,,,,
sh600282,2023,1,0.014358,0.094129,0.024101,-0.420163,0.236376,2.201494,0.595306,0.884423,0.019089,0.792064,4.340441,,,,
sh600282,2023,2,0.038412,0.105455,0.029779,-0.337104,0.481149,4.673449,0.616465,0.884942,0.043644,1.465574,6.765109,,,,
sh600282,2023,3,0.06392,0.10626,0.032293,-0.166672,0.732566,6.588922,0.610790,0.920232,0.042103,1.303778,5.830531,,,,
sh600282,2023,4,0.080788,0.10599,0.030942,-0.033953,0.981294,8.243783,0.612808,0.928364,0.036877,1.191797,7.927503,,,,
sh600282,2024,1,0.020816,0.103001,0.032898,0.286846,0.230446,1.7362,0.611758,0.911816,0.022744,0.691352,5.873926,,,,
sh600282,2024,2,0.047325,0.111499,0.036585,0.120719,0.472238,3.563637,0.006056,0.858595,0.032881,0.898756,7.208475,,,,
sh600282,2024,3,0.067055,0.118839,0.035848,-0.029242,0.699989,5.274102,0.005933,0.779507,0.034329,0.957629,6.012548,,,,
sh600282,2024,4,0.086008,0.11912,0.035469,-0.023305,0.868838,6.388189,0.005979,0.836094,0.052106,1.469078,6.162005,,,,
sh600282,2025,1,0.021978,0.117935,0.039314,0.016586,0.210459,1.654902,0.005786,0.767093,0.052770,1.342258,9.043992,,,,
sh600282,2025,2,0.055251,0.131657,0.048476,0.138784,0.413835,3.190231,0.005957,0.790656,0.078255,1.614293,11.824420,,,,
