code,year,quarter,forward_return,industry,roe,gross_margin,net_margin,profit_yoy,asset_turnover,inventory_turnover,liability_to_asset,current_ratio,cfo_to_revenue,cfo_to_profit,interest_coverage,buy_price,pe,pb,ps,usable
601003,2019,3,,钢铁,0.0358,0.068150841832,0.037395062156331205,-0.633174708796,1.6625682936598463,7.522280041838556,0.557796375311,,0.13663177085569853,3.653738300647963,,,,,,True
300494,2019,3,,游戏,0.0045000000000000005,0.278711707292,0.03739442080444359,-0.776959109593,0.42778127917597336,608.4606423124679,0.11219250966500001,,-0.05045381125963275,-1.3492336603763444,,,,,,True
603919,2019,3,,白酒,0.053200000000000004,0.580365059063,0.21237359800809097,-0.099233420871,0.7418944057695515,3.191205701416776,0.2394207646,,0.3205238763416745,1.5092454021966666,,,,,,True
603258,2019,3,,游戏,0.0236,0.8329251506609999,0.3013404894791576,0.7495061918010001,0.24966325307677645,3524.6339872682943,0.18450745811000002,,0.18459160866693142,0.6125682246882352,,,,,,True
601988,2019,3,,银行,0.0326,,0.36136676262461537,0.040080814677000004,0.026097405437637958,,0.915913752214,,-1.6979904558079706,-4.698800862247058,,,,,,True
601860,2019,3,,银行,0.023,,0.24110421228821127,0.153361394403,0.02309581444229853,,0.939032194567,,7.2353620231145,30.009272564950003,,,,,,True
601577,2019,3,,银行,0.0437,,0.3257079142969588,0.11023767657,0.029407934610134908,,0.942310933413,,2.9148791880413887,8.949365551442499,,,,,,True
601009,2019,3,,银行,0.0475,,0.382029134847301,0.150698471019,0.026372807468809017,,0.937289970665,,1.0187443595928027,2.666666666666667,,,,,,True
601005,2019,3,,钢铁,0.008100000000000001,0.061195345823,0.028341987068380835,-0.570657183873,0.803779699259506,6.790489205959422,0.292506662931,,-0.02201599189152978,-0.7767977537499999,,,,,,True
600926,2019,3,,银行,0.0373,,0.3428413417324298,0.192529200058,0.022659415730442875,,0.936305568423,,-4.692028648280969,-13.685714285714289,,,,,,True
600908,2019,3,,银行,0.027999999999999997,,0.374947953410735,0.13813808182600001,0.020301897830161314,,0.9305768861529999,,2.8122308644766663,7.5003232819250005,,,,,,True
600516,2019,3,,钢铁,0.054900000000000004,0.52314925379,0.39597417339547464,-0.6235613927179999,0.4171289335488563,3.3145603313724674,0.17140415922,,1.1301775680909374,2.854169903051191,,,,,,True
600399,2019,3,,钢铁,0.012,0.08792992465699999,0.03189375501679167,3.2973262598920003,0.7739306645869656,4.295958712037531,0.483414955969,,-0.028243278006281354,-0.885542576953125,,,,,,True
600307,2019,3,,钢铁,0.0029,0.096698449429,0.0032010099622788893,-0.748131897283,0.9759557426966249,7.508091934317408,0.731284173243,,0.10485155752102807,32.75577357040817,,,,,,True
600295,2019,3,,钢铁,0.019299999999999998,0.265808905302,0.03532004436655581,-0.08796126556600001,0.4289861546441124,5.978136936312958,0.6888416846619999,,0.06474468224922882,1.8330860963055557,,,,,,True
600282,2019,3,,钢铁,0.0529,0.143221022035,0.07082295647001866,-0.169709004105,1.0793652775987213,9.886746188818739,0.521964332009,,0.13741199548602015,1.9402182898731501,,,,,,True
600231,2019,3,,钢铁,0.0092,0.062218338394000004,0.013311250074314293,-0.7308248466560001,1.3234646368998073,14.718601490359761,0.517809546147,,0.013311250074314293,1.0,,,,,,True
600117,2019,3,,钢铁,0.0147,0.120916161752,0.008536574469608567,0.431598459099,0.33072045184906324,2.759697958067269,0.926368734344,,-0.0047704603868697565,-0.5588260729000001,,,,,,True
600036,2019,3,,银行,0.048625,,0.3671860224908713,0.113169268766,0.04046834817238507,,0.915659886079,,-2.5115523938375595,-6.84,,,,,,True
600016,2019,3,,银行,0.037725,,0.36006292893134817,0.056886628296000004,0.028310978597160964,,0.9276964304499999,,1.7903128966308703,4.972222222222223,,,,,,True
600015,2019,3,,银行,0.0197,,0.2359936439591983,0.012090569356000001,0.027933628815924275,,0.9231299008960001,,3.0679173714695787,13.000000000000002,,,,,,True
600010,2019,3,,钢铁,0.0092,0.165452557765,0.03624557210170687,-0.235024993824,0.3736197819663368,2.550345044623189,0.630377148592,,0.012699631309708774,0.350377455046729,,,,,,True
300459,2019,3,,游戏,0.0364,0.7528018587309999,0.3856073438601101,-0.137260568931,0.1854687419805447,32.662790701383756,0.467653115895,,0.7587989197818906,1.9678020449142855,,,,,,True
002919,2019,3,,游戏,0.0154,0.36935968137700004,0.07707725201943469,-0.014645065101,0.6766282799969938,2.3700785229686816,0.148653636862,,-0.9400183090005431,-12.195794276157141,,,,,,True
002602,2019,3,,游戏,0.0092,0.501718252933,0.06560677715449188,-0.283104809612,0.8305281889438454,30.87866935548872,0.16175370124699998,,0.02898081754744279,0.4417351195166667,,,,,,True
002558,2019,3,,游戏,0.0304,0.822188525527,0.40531611487590136,-0.194777900255,0.2577080556098454,,0.13045487236699999,,0.6272071722974858,1.547451851228571,,,,,,True
002555,2019,3,,游戏,0.0733,0.876588952383,0.13994040939207208,0.10799278548300001,1.4919407108832203,,0.256304822755,,0.04956020927679428,0.3541522387428572,,,,,,True
002174,2019,3,,游戏,0.0377,0.545652050619,0.20745442337538328,-0.222011237578,0.41762100476497543,,0.406507920864,,0.08008353641592852,0.386029543805,,,,,,True
000717,2019,3,,钢铁,0.0636,0.10312684041800001,0.06097029953335019,-0.522714741083,1.6561154560194302,13.692517282222441,0.59020740837,,0.07255099667044419,1.1899399744749404,,,,,,True
