code,year,quarter,forward_return,industry,roe,gross_margin,net_margin,profit_yoy,asset_turnover,inventory_turnover,liability_to_asset,current_ratio,cfo_to_revenue,cfo_to_profit,interest_coverage,buy_price,pe,pb,ps,usable,gm_rank,gm_cfo_cross
sh600010,2019,1,-0.3607350927428088,钢铁,0.00924,0.165453,0.03621,-0.234215,0.091846,0.535632,0.630377,0.532483,0.012714,0.351106,1.95566,1.675979,24.414878,1.462334,1.145639,True,0.6395348837209303,1
sh600010,2019,2,-0.2594936708860759,钢铁,0.019619,0.15526,0.034412,-0.264577,0.206216,1.196775,0.628685,0.553269,-0.005919,-0.172014,2.515628,1.56741056,22.691475,1.359111,1.064771,True,0.6337209302325582,1
sh600010,2019,3,-0.1751824817518248,钢铁,0.022379,0.139844,0.02545,-0.483546,0.315151,1.837506,0.637021,0.630048,-0.020176,-0.79275,1.899302,1.35908384,28.275512,1.161243,0.949047,True,0.5755813953488372,1
sh600010,2019,4,0.361111111111111,钢铁,0.012701,0.128612,0.014103,-0.731475,0.428524,2.717282,0.585406,0.607225,-0.006102,-0.432662,1.905469,1.07139456,-343.668226,0.940152,0.779393,True,0.5116279069767442,1
sh600010,2020,1,0.361111111111111,钢铁,-0.006166,0.115887,-0.020078,-1.544971,0.091251,0.59146,0.573952,0.595051,-0.099539,2.3277520555555555,0.671994,1.07139456,-343.668226,0.940152,0.779393,True,0.48255813953488375,1
sh600010,2020,2,1.2991452991452994,钢铁,0.001595,0.129404,0.006951,-0.813701,0.194484,1.304986,0.56474,0.589671,0.024433,3.514875,1.447393,1.16067744,-372.307245,1.018498,0.844342,True,0.5813953488372093,-1
sh600010,2020,3,1.3982300884955754,钢铁,0.003167,0.12854,0.008303,-0.698074,0.298799,1.974059,0.571798,0.637953,0.048837,5.88163,1.160187,1.12099616,7.374107291534391,1.4214533158730158,1.0602956277777775,True,0.5697674418604651,-1
sh600010,2020,4,0.2653061224489795,钢铁,0.007696,0.096658,0.011164,-0.259944,0.406895,2.791132,0.572762,0.682397,0.065358,5.854225,1.462407,1.45828704,45.765149,1.249006,1.054327,True,0.3023255813953488,-1
sh600010,2021,1,0.2653061224489795,钢铁,0.013797,0.137674,0.049508,4.26667,0.119164,0.798978,0.58131,0.73606,0.075233,1.519602,2.658088,1.45828704,45.765149,1.249006,1.054327,True,0.5348837209302325,1
sh600010,2021,2,-0.1793345435912908,钢铁,0.050953,0.167286,0.079477,15.130958,0.265128,1.679689,0.579409,0.740904,0.113692,1.430492,5.105821,2.66856608,17.993370388888888,1.6386588333333332,1.3494140833333332,True,0.6569767441860465,1
sh600010,2021,3,-0.3453371519618877,钢铁,0.068992,0.146194,0.066611,10.832966,0.431615,2.786591,0.569414,0.673505,0.13106,1.967535,3.640108,2.68840672,17.993370388888888,1.6386588333333332,1.3494140833333332,True,0.5581395348837209,1
sh600010,2021,4,-0.0136461085369081,钢铁,0.053053,0.111824,0.036754,3.787299,0.589911,4.033113,0.566104,0.625594,0.127338,3.464627,3.221502,1.84517952,17.993370388888888,1.6386588333333332,1.3494140833333332,True,0.29651162790697677,1
sh600010,2022,1,-0.0136461085369081,钢铁,0.005969,0.076529,0.011947,-0.721808,0.135531,0.959531,0.569396,0.647529,0.047018,3.93548,1.537841,1.84517952,5.1886167297297305,1.043294918918919,0.958235,True,0.4127906976744186,1
sh600010,2022,2,-0.136986301369863,钢铁,0.007606,0.084383,0.005343,-0.929998,0.27373,1.933635,0.584397,0.666707,0.041261,7.722607,1.484362,2.19,5.1886167297297305,1.043294918918919,0.958235,True,0.45930232558139533,1
sh600010,2022,3,-0.0795454545454544,钢铁,-0.013689,0.059059,-0.020408,-1.278655,0.393467,3.012828,0.580896,0.617066,0.021884,3.612546606060606,0.216682,1.76,-48.404307,1.493044,0.997978,True,0.3313953488372093,1
sh600010,2022,4,-0.1208791208791208,钢铁,-0.013556,0.077327,-0.020021,-1.456168,0.489815,3.61215,0.581556,0.564601,0.028638,3.27660146875,0.357057,1.82,5.1886167297297305,1.043294918918919,0.958235,True,0.4186046511627907,1
sh600010,2023,1,-0.1208791208791208,钢铁,0.005527,0.103558,0.003477,-0.752638,0.116116,0.882653,0.58589,0.563474,0.017888,5.144797,1.413728,1.82,-145.58995341228072,1.2075474561403508,1.1956955438596493,True,0.6046511627906976,-1
sh600010,2023,2,-0.2275132275132275,钢铁,0.007841,0.107653,0.001863,-0.703386,0.236146,1.892023,0.601723,0.627185,-0.02952,-15.841768,1.451839,1.89,-111.424474,1.625119,1.241104,True,0.627906976744186,-1
sh600010,2023,3,0.0555555555555554,钢铁,0.00901,0.102005,0.000766,1.034573,0.356891,2.807565,0.599176,0.620623,-0.020784,-27.117069,1.150808,1.62,149.804775,1.388005,1.088929,True,0.5930232558139535,-1
sh600010,2023,4,0.0812499999999999,钢铁,0.009885,0.097185,0.00042,1.020547,0.472804,3.755786,0.595039,0.556477,-0.01401,-33.394993,1.306904,1.6,252.15972,1.39888,1.020859,True,0.5755813953488372,-1
sh600010,2024,1,0.0812499999999999,钢铁,0.001226,0.074291,0.000444,-0.867966,0.116564,0.993649,0.597224,0.597093,-0.016806,-37.885188,1.042507,1.6,252.15972,1.39888,1.020859,True,0.5755813953488372,1
sh600010,2024,2,0.8424657534246576,钢铁,0.002082,0.085773,0.000429,-0.772027,0.229588,2.007884,0.006023,0.582879,0.004713,10.976504,1.178727,1.46,230.095744,1.276478,0.931534,True,0.6104651162790697,-1
sh600010,2024,3,0.4853801169590643,钢铁,-0.010009,0.078771,-0.013944,-17.931309,0.326964,2.791179,0.00603,0.577976,0.018001,2.305972769230769,0.428758,1.71,-163.087901,1.511403,1.161474,True,0.5930232558139535,-1
sh600010,2024,4,0.5606936416184972,钢铁,0.005102,0.07877,0.000305,-0.299124,0.443722,4.009705,0.006048,0.579791,0.034914,114.574132,1.130315,1.73,318.535412,1.50783,1.191175,True,0.5872093023255814,-1
sh600019,2019,1,-0.2678821344798502,钢铁,0.015322,0.101682,0.045074,-0.467539,0.193737,1.345275,0.437499,0.957833,0.020727,0.459838,7.624665,4.603857,8.288327,0.892039,0.526891,True,0.3081395348837209,1
sh600019,2019,2,-0.1821030957659624,钢铁,0.035534,0.11053,0.047539,-0.385655,0.418148,2.899606,0.458085,0.920948,0.06699,1.409176,8.482589,4.41564904,7.375108,0.793753,0.468838,True,0.4127906976744186,1
sh600019,2019,3,0.0148903659245526,钢铁,0.050508,0.107181,0.044351,-0.440193,0.639125,4.455935,0.455576,0.936136,0.090349,2.037156,7.241071,4.0142264,8.793283,0.739763,0.435289,True,0.36046511627906974,1
sh600019,2019,4,0.8794724966604718,钢铁,0.070026,0.108791,0.046191,-0.415516,0.865646,6.353418,0.436993,0.984748,0.101182,2.19052,7.800262,3.37056596,9.654852,0.604475,0.378327,True,0.38953488372093026,1
sh600019,2020,1,0.8794724966604718,钢铁,0.008596,0.104481,0.029447,-0.400709,0.175331,1.202644,0.443872,1.029251,0.060751,2.063068,6.188585,3.37056596,9.654852,0.604475,0.378327,True,0.36046511627906974,1
sh600019,2020,2,0.5468790360142975,钢铁,0.022584,0.096874,0.03462,-0.369193,0.375855,2.796696,0.460199,1.038176,0.084164,2.431058,8.314523,3.61154568,9.753978,0.610682,0.382211,True,0.3081395348837209,-1
sh600019,2020,3,0.3749563678171111,钢铁,0.043869,0.108101,0.043662,-0.130108,0.576448,4.204986,0.453418,1.076565,0.085333,1.954407,11.080061,4.0739997,7.374107291534391,1.4214533158730158,1.0602956277777775,True,0.38953488372093026,-1
sh600019,2020,4,-0.2015333229310414,钢铁,0.069955,0.10835,0.049301,0.008162,0.817513,6.350708,0.43928,1.134196,0.099002,2.00811,10.779954,6.33488602,11.650564,1.013147,0.623757,True,0.3953488372093023,1
sh600019,2021,1,-0.2015333229310414,钢铁,0.028654,0.145231,0.072322,2.400445,0.230191,1.616243,0.445628,1.166803,0.167807,2.320291,19.836319,6.33488602,11.650564,1.013147,0.623757,True,0.5523255813953488,1
sh600019,2021,2,-0.1684981179063716,钢铁,0.080361,0.159423,0.090498,2.731565,0.504439,3.570073,0.453531,1.09026,0.15207,1.680367,26.43178,5.5866243,17.993370388888888,1.6386588333333332,1.3494140833333332,True,0.6046511627906976,1
sh600019,2021,3,-0.2597726895523894,钢铁,0.115453,0.155142,0.086611,1.754694,0.736015,4.956962,0.479047,1.130367,0.10605,1.224438,25.038973,5.60157183,17.993370388888888,1.6386588333333332,1.3494140833333332,True,0.5988372093023255,1
sh600019,2021,4,0.1316246919437409,钢铁,0.125935,0.132568,0.072609,0.882485,0.991939,7.114428,0.446052,1.086979,0.164317,2.263044,18.36851,5.05819539,17.993370388888888,1.6386588333333332,1.3494140833333332,True,0.5058139534883721,1
sh600019,2022,1,0.1316246919437409,钢铁,0.019353,0.095823,0.050737,-0.280032,0.222246,1.504347,0.456059,1.147575,0.103498,2.039908,13.044843,5.05819539,5.1886167297297305,1.043294918918919,0.958235,True,0.5174418604651163,1
sh600019,2022,2,0.2122141766941491,钢铁,0.040529,0.100141,0.049175,-0.462174,0.467762,3.09595,0.473201,1.289322,0.079223,1.611065,15.337044,4.64528862,5.1886167297297305,1.043294918918919,0.958235,True,0.5406976744186046,1
